FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_ROCScore,KFold02_ROCScore,KFold03_ROCScore,KFold04_ROCScore,KFold05_ROCScore,KFold06_ROCScore,KFold07_ROCScore,KFold08_ROCScore,KFold09_ROCScore,KFold10_ROCScore,ROCScore_Mean,ROCScore_SD
NASNetMobile,Full,No,51744,J48,0.675,0.6159,0.8529,0.6179,0.5882,0.6458,0.5882,0.6493,0.6364,0.6351,0.6505,0.0722
NASNetMobile,Full,No,51744,RBF,0.8917,0.7391,0.6471,0.6143,0.7353,0.6215,0.5882,0.7118,0.7576,0.7877,0.7094,0.0886
NASNetMobile,Full,No,51744,LinearSVM,0.675,0.721,0.8529,0.7,0.6176,0.6181,0.6765,0.7882,0.7348,0.7877,0.7172,0.0723
NASNetMobile,Full,No,51744,MLP,0.7917,0.721,0.8529,0.7,0.5,0.6458,0.5,0.5,0.5,0.5,0.6211,0.1315
NASNetMobile,Full,No,51744,Logistic,0.7333,0.721,0.8824,0.7,0.6765,0.6181,0.6471,0.7882,0.7992,0.814,0.738,0.0782
NASNetMobile,Full,No,51744,RandomForest,0.8,0.8062,0.7647,0.6964,0.7059,0.6806,0.6471,0.6458,0.7576,0.814,0.7318,0.0615
NASNetMobile,Full,No,51744,Adaboost,0.7167,0.7844,0.7353,0.7214,0.7353,0.6806,0.6471,0.7049,0.625,0.8211,0.7172,0.0556
NASNetMobile,Full,No,51744,Gaussian,0.5333,0.7409,0.5294,0.6107,0.6765,0.5312,0.5,0.6736,0.803,0.5895,0.6188,0.0965
MobileNetV2,Full,No,62720,PCC,0.6917,0.8478,0.8235,0.6643,0.7941,0.7639,0.7941,0.8438,0.6553,0.8281,0.7707,0.0703
MobileNetV2,Full,No,62720,J48,0.5917,0.7862,0.8235,0.7464,0.8235,0.8299,0.7059,0.8785,0.9318,0.7825,0.79,0.0895
MobileNetV2,Full,No,62720,RBF,0.8917,0.9348,0.9118,0.8071,0.9118,0.9097,0.8529,0.9688,0.9773,0.914,0.908,0.0477
MobileNetV2,Full,No,62720,LinearSVM,0.9167,0.9565,1,0.7964,0.9706,0.9132,0.9706,0.9688,0.9356,0.914,0.9342,0.0537
MobileNetV2,Full,No,62720,MLP,0.8833,0.9783,0.9412,0.8071,0.9118,0.9097,0.9412,0.941,0.9356,0.9211,0.917,0.0438
MobileNetV2,Full,No,62720,Logistic,0.9167,0.9348,1,0.8321,0.9412,0.9132,0.9706,0.9688,0.9356,0.914,0.9327,0.0429
MobileNetV2,Full,No,62720,RandomForest,0.8833,0.8297,0.9118,0.7321,0.9118,0.8854,0.8824,0.9722,0.9318,0.8684,0.8809,0.0615
MobileNetV2,Full,No,62720,Adaboost,0.8417,0.8913,0.9706,0.9036,0.9118,0.9167,0.8529,0.941,0.9129,0.8211,0.8963,0.0436
MobileNetV2,Full,No,62720,Gaussian,0.7,0.6413,0.7647,0.5964,0.7647,0.7396,0.5882,0.9132,0.5606,0.7158,0.6985,0.1009
EfficientNetB0,Full,No,62720,PCC,0.6083,0.6993,0.7941,0.7107,0.7353,0.7951,0.7941,0.7639,0.678,0.6947,0.7274,0.058
EfficientNetB0,Full,No,62720,J48,0.75,0.6993,0.7647,0.6214,0.6765,0.559,0.8235,0.7569,0.8068,0.8947,0.7353,0.0942
EfficientNetB0,Full,No,62720,RBF,0.7917,0.9149,0.8529,0.8786,0.8529,0.8854,0.8529,0.9132,0.9545,0.907,0.8804,0.0432
EfficientNetB0,Full,No,62720,LinearSVM,0.9167,0.8913,0.9118,0.8929,0.9118,0.941,0.9118,0.9688,0.9545,0.9404,0.9241,0.0246
EfficientNetB0,Full,No,62720,MLP,0.8417,0.9149,0.9412,0.8429,0.9412,0.8576,0.8529,0.9722,0.9318,0.914,0.901,0.0455
EfficientNetB0,Full,No,62720,Logistic,0.8917,0.8913,0.9118,0.8929,0.9118,0.941,0.9118,0.9688,0.9545,0.907,0.9182,0.0259
EfficientNetB0,Full,No,62720,RandomForest,0.8833,0.8931,0.8529,0.8786,0.9118,0.9132,0.8824,0.9132,0.9129,0.907,0.8948,0.0194
EfficientNetB0,Full,No,62720,Adaboost,0.8917,0.7645,0.8235,0.8679,0.9706,0.8819,0.9412,0.8194,0.8902,0.7947,0.8646,0.0612
EfficientNetB0,Full,No,62720,Gaussian,0.8167,0.8514,0.8235,0.7321,0.7059,0.8299,0.7059,0.8229,0.9318,0.7947,0.8015,0.0668
EfficientNetB1,Full,No,81920,PCC,0.7917,0.8714,0.8529,0.7821,0.8235,0.9132,0.8235,0.9097,0.8902,0.7754,0.8434,0.0492
EfficientNetB1,Full,No,81920,J48,0.7917,0.8279,0.7353,0.8536,0.7353,0.6458,0.6765,0.7951,0.7159,0.8211,0.7598,0.0652
EfficientNetB1,Full,No,81920,RBF,0.8583,0.9565,0.9118,0.7821,0.9412,0.941,0.8824,0.9132,0.9545,0.8737,0.9015,0.0514
EfficientNetB1,Full,No,81920,LinearSVM,0.9167,0.9348,0.9412,0.8321,0.9412,0.9722,0.9412,0.9097,0.9773,0.907,0.9273,0.0388
EfficientNetB1,Full,No,81920,MLP,0.875,0.9149,0.8824,0.7357,0.9706,0.941,0.8824,0.9444,0.9545,0.8807,0.8982,0.0636
