FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_F1Score,KFold02_F1Score,KFold03_F1Score,KFold04_F1Score,KFold05_F1Score,KFold06_F1Score,KFold07_F1Score,KFold08_F1Score,KFold09_F1Score,KFold10_F1Score,F1Score_Mean,F1Score_SD
ResNet101,Full,No,100352,RandomForest,0.7742,0.8148,0.8824,0.8837,0.9143,0.9444,0.9412,0.9412,0.9524,0.8947,0.8943,0.0563
ResNet101,Full,No,100352,Adaboost,0.8125,0.7333,0.8333,0.8293,0.8571,0.7647,0.8889,0.9189,0.9524,0.8889,0.8479,0.0642
ResNet101,Full,No,100352,Gaussian,0.5517,0.6667,0.6154,0.4667,0.4444,0.3704,0.7097,0.6207,0.8095,0.7059,0.5961,0.1301
ResNet152,Full,No,100352,PCC,0.6857,0.5294,0.75,0.8182,0.7368,0.8108,0.7895,0.6667,0.8372,0.85,0.7474,0.0935
ResNet152,Full,No,100352,J48,0.7778,0.6897,0.7647,0.8,0.7647,0.8333,0.9143,0.9444,0.8889,0.8571,0.8235,0.0747
ResNet152,Full,No,100352,RBF,0.8485,0.8571,0.8649,0.8372,0.9412,0.9474,0.8889,0.8947,0.9524,0.8947,0.8927,0.04
ResNet152,Full,No,100352,LinearSVM,0.8485,0.8889,0.9697,0.8889,0.9714,0.9189,0.9697,0.9474,0.9302,0.95,0.9284,0.0396
ResNet152,Full,No,100352,MLP,0.8387,0.8889,0.9412,0.7907,0.9143,0.8387,0.875,0.9143,0.9524,0.8889,0.8843,0.0477
ResNet152,Full,No,100352,Logistic,0.8485,0.8571,0.9697,0.8889,0.9444,0.9474,0.9697,0.9474,0.9302,0.95,0.9253,0.0422
ResNet152,Full,No,100352,RandomForest,0.8387,0.8276,0.9091,0.8571,0.8824,0.9143,0.9444,0.8947,0.9302,0.9474,0.8946,0.0404
ResNet152,Full,No,100352,Adaboost,0.8387,0.8276,0.8571,0.8889,0.8235,0.9444,0.9091,0.8649,0.8571,0.9268,0.8738,0.0398
ResNet152,Full,No,100352,Gaussian,0.5,0.7273,0.5714,0.3226,0.5833,0.5714,0.4348,0.6,0.6486,0.5517,0.5511,0.1064
ResNet50V2,Full,No,100352,PCC,0.5946,0.5143,0.6316,0.7273,0.7027,0.7059,0.6818,0.6818,0.7442,0.7619,0.6746,0.0715
ResNet50V2,Full,No,100352,J48,0.75,0.6154,0.75,0.7805,0.75,0.6486,0.7222,0.8649,0.7143,0.8421,0.7438,0.0726
ResNet50V2,Full,No,100352,RBF,0.9032,0.8148,0.9091,0.8571,0.9189,0.9143,0.8235,0.8889,0.9091,0.8947,0.8834,0.0361
ResNet50V2,Full,No,100352,LinearSVM,0.8485,0.8571,0.8824,0.9091,0.9189,0.9143,0.8649,0.9189,0.9302,0.9474,0.8992,0.0319
ResNet50V2,Full,No,100352,MLP,0.7857,0.8276,0.9375,0.8837,0.9143,0.8387,0.9189,0.9231,0.9333,0.9048,0.8868,0.0492
ResNet50V2,Full,No,100352,Logistic,0.8485,0.8571,0.8824,0.9091,0.8947,0.8824,0.8889,0.9189,0.9302,0.9231,0.8935,0.0259
ResNet50V2,Full,No,100352,RandomForest,0.7692,0.8462,0.8824,0.8837,0.8485,0.8824,0.9412,0.9474,0.9268,0.9231,0.8851,0.0515
ResNet50V2,Full,No,100352,Adaboost,0.8387,0.8148,0.8333,0.8261,0.7647,0.8485,0.8108,0.9189,0.8936,0.8718,0.8421,0.0419
ResNet50V2,Full,No,100352,Gaussian,0.6923,0.7619,0.8,0.6857,0.7586,0.7097,0.7586,0.7333,0.8293,0.7879,0.7517,0.0445
ResNet101V2,Full,No,100352,PCC,0.7568,0.5714,0.7059,0.8,0.8571,0.6842,0.7568,0.6486,0.7442,0.7442,0.7269,0.0757
ResNet101V2,Full,No,100352,J48,0.8667,0.6667,0.8421,0.7895,0.75,0.7059,0.75,0.7429,0.7442,0.8108,0.7669,0.0579
ResNet101V2,Full,No,100352,RBF,0.8667,0.88,0.8571,0.8571,0.8889,0.8824,0.8571,0.8649,0.9524,1,0.8907,0.0453
ResNet101V2,Full,No,100352,LinearSVM,0.9032,0.8462,0.8889,0.9091,0.9444,0.9444,0.9444,0.9189,0.9524,1,0.9252,0.0397
ResNet101V2,Full,No,100352,MLP,0.9032,0.8276,0.8571,0.9048,0.9714,0.9091,0.9444,0.9231,0.9333,0.8889,0.9063,0.0396
ResNet101V2,Full,No,100352,Logistic,0.9032,0.8462,0.8889,0.9091,0.9444,0.9444,0.9444,0.9474,0.9767,1,0.9305,0.0423
ResNet101V2,Full,No,100352,RandomForest,0.9286,0.9167,0.8824,0.8837,0.8824,0.8485,0.8889,0.9189,0.9524,0.9474,0.905,0.0314
ResNet101V2,Full,No,100352,Adaboost,0.8571,0.6897,0.9143,0.9268,0.8824,0.8421,0.9143,0.8718,0.878,0.8947,0.8671,0.0643
ResNet101V2,Full,No,100352,Gaussian,0.7143,0.6667,0.8125,0.4,0.4348,0.7273,0.6154,0.7333,0.7368,0.6,0.6441,0.1278
ResNet152V2,Full,No,100352,PCC,0.6316,0.6061,0.6842,0.7143,0.7179,0.7143,0.7317,0.7179,0.7,0.6977,0.6916,0.0389
ResNet152V2,Full,No,100352,J48,0.5161,0.5714,0.7368,0.7619,0.625,0.7179,0.75,0.7273,0.898,0.8718,0.7176,0.1142
ResNet152V2,Full,No,100352,RBF,0.8387,0.8462,0.8824,0.8571,0.8824,0.8485,0.8,0.9412,0.9302,0.9474,0.8774,0.0464
ResNet152V2,Full,No,100352,LinearSVM,0.8235,0.8462,0.9697,0.9302,0.9444,0.8485,0.8889,0.973,0.9545,0.9474,0.9126,0.0531
ResNet152V2,Full,No,100352,MLP,0.8824,0.8571,0.8824,0.8571,0.9412,0.8485,0.9444,0.9444,0.9545,0.9143,0.9026,0.0396
ResNet152V2,Full,No,100352,Logistic,0.8235,0.88,0.9697,0.9302,0.9444,0.8485,0.8889,0.973,0.9545,0.9474,0.916,0.0498
ResNet152V2,Full,No,100352,RandomForest,0.8387,0.7692,0.8485,0.878,0.8824,0.75,0.8824,0.9474,0.9302,0.8947,0.8622,0.06
ResNet152V2,Full,No,100352,Adaboost,0.7742,0.6667,0.7895,0.8636,0.8,0.875,0.7647,0.973,0.9333,0.85,0.829,0.0844
ResNet152V2,Full,No,100352,Gaussian,0.64,0.7619,0.5833,0.5,0.64,0.7333,0.6429,0.8,0.7027,0.7273,0.6731,0.0852
InceptionV3,Full,No,131072,PCC,0.7059,0.6897,0.7222,0.8095,0.7647,0.7879,0.7568,0.7429,0.7805,0.8649,0.7625,0.0492
InceptionV3,Full,No,131072,J48,0.6,0.5185,0.7,0.7027,0.75,0.6471,0.6486,0.6111,0.6486,0.6061,0.6433,0.0617
InceptionV3,Full,No,131072,RBF,0.8125,0.88,0.8824,0.8372,0.8824,0.9143,0.6897,0.9189,0.9302,0.9231,0.8671,0.0693
InceptionV3,Full,No,131072,LinearSVM,0.8,0.8889,0.9697,0.8889,0.8824,0.8947,0.875,0.973,0.9302,0.9474,0.905,0.0493
InceptionV3,Full,No,131072,MLP,0.8387,0.5106,0.8667,0.8636,0.9091,0.7586,0.8421,0.6923,0.9545,0.973,0.8209,0.1304
InceptionV3,Full,No,131072,Logistic,0.7742,0.9231,0.9375,0.8889,0.8824,0.8947,0.875,0.973,0.9302,0.9474,0.9026,0.0522
InceptionV3,Full,No,131072,RandomForest,0.7879,0.8148,0.8667,0.878,0.8125,0.8333,0.8485,0.9189,0.9048,0.8718,0.8537,0.0399
InceptionV3,Full,No,131072,Adaboost,0.8125,0.7742,0.8125,0.8,0.8205,0.8235,0.9091,0.8824,0.9048,0.878,0.8417,0.045
InceptionV3,Full,No,131072,Gaussian,0.5,0.6667,0.7222,0.8182,0.7143,0.8,0.7879,0.8421,0.878,0.8718,0.7601,0.109
InceptionResNetV2,Full,No,98304,PCC,0.8,0.8889,0.6875,0.8372,0.8824,0.8235,0.7273,0.8649,0.8444,0.9,0.8256,0.0665
InceptionResNetV2,Full,No,98304,J48,0.7742,0.6207,0.7647,0.8182,0.7368,0.8649,0.8,0.7,0.8182,0.8205,0.7718,0.0674
InceptionResNetV2,Full,No,98304,RBF,0.7879,0.96,0.8571,0.8636,0.9143,0.9474,0.8485,0.9189,0.9048,0.95,0.8952,0.052
InceptionResNetV2,Full,No,98304,LinearSVM,0.7742,0.8889,0.9143,0.9091,0.9143,0.973,0.8947,0.9143,0.9302,0.9474,0.906,0.0498
InceptionResNetV2,Full,No,98304,MLP,0.8,0.9231,0.8824,0.8889,0.9143,0.973,0.8649,0.9444,0.9302,0.9143,0.9035,0.0455
InceptionResNetV2,Full,No,98304,Logistic,0.7742,0.8889,0.9143,0.8889,0.9143,0.973,0.8947,0.9444,0.9302,0.9744,0.9097,0.0541
InceptionResNetV2,Full,No,98304,RandomForest,0.7333,0.8276,0.8235,0.9,0.8125,0.9444,0.8824,0.9189,0.8636,0.9744,0.8681,0.0677
InceptionResNetV2,Full,No,98304,Adaboost,0.8235,0.8889,0.8125,0.9048,0.8108,0.9143,0.8649,0.9474,0.878,0.85,0.8695,0.0436
InceptionResNetV2,Full,No,98304,Gaussian,0.7333,0.75,0.7222,0.8261,0.7742,0.8947,0.8649,0.9,0.8261,0.9268,0.8218,0.0704
MobileNet,Full,No,50176,PCC,0.7059,0.6452,0.7027,0.8571,0.8235,0.7778,0.6667,0.7442,0.7619,0.8205,0.7505,0.067
MobileNet,Full,No,50176,J48,0.7647,0.7586,0.7059,0.7805,0.7647,0.7879,0.7778,0.7895,0.8372,0.8718,0.7839,0.0426
MobileNet,Full,No,50176,RBF,0.8966,0.9231,0.9143,0.8293,0.8485,0.9143,0.8824,0.9143,0.9268,1,0.9049,0.0443
MobileNet,Full,No,50176,LinearSVM,0.8667,0.96,0.9412,0.8837,0.9143,0.9444,0.8649,0.973,0.9524,1,0.9301,0.0437
MobileNet,Full,No,50176,MLP,0.8387,0.9231,0.9143,0.9091,0.9143,0.8571,0.8205,0.9143,0.9302,0.973,0.8995,0.044
MobileNet,Full,No,50176,Logistic,0.8667,0.96,0.9412,0.8837,0.9143,0.9444,0.8889,0.973,0.9524,1,0.9325,0.0406
MobileNet,Full,No,50176,RandomForest,0.8276,0.8889,0.9091,0.878,0.8485,0.8824,0.8125,0.9714,0.9,1,0.8918,0.0557
MobileNet,Full,No,50176,Adaboost,0.6897,0.88,0.8333,0.9048,0.8571,0.9474,0.8889,0.9474,0.913,0.8947,0.8756,0.0706
MobileNet,Full,No,50176,Gaussian,0.56,0.6667,0.6923,0.6,0.7097,0.7879,0.5714,0.8125,0.6857,0.8125,0.6899,0.0892
DenseNet121,Full,No,50176,PCC,0.7429,0.6,0.7778,0.7727,0.7429,0.8571,0.7778,0.8,0.6842,0.95,0.7705,0.0887
DenseNet121,Full,No,50176,J48,0.7143,0.72,0.7059,0.7895,0.7273,0.8333,0.8,0.7778,0.7619,0.8293,0.7659,0.0451
DenseNet121,Full,No,50176,RBF,0.8276,0.8889,0.9143,0.8372,0.9143,0.973,0.8824,0.9444,0.9545,0.9189,0.9055,0.0451
DenseNet121,Full,No,50176,LinearSVM,0.9032,0.8148,0.9697,0.9091,0.9143,0.973,0.9714,0.8889,0.9767,0.9143,0.9235,0.0485
DenseNet121,Full,No,50176,MLP,0.8,0.8,0.9697,0.8372,0.9714,0.9231,0.9412,0.973,0.9524,0.9143,0.9082,0.0661
DenseNet121,Full,No,50176,Logistic,0.875,0.7857,0.9412,0.8889,0.9143,0.973,0.9714,0.8889,0.9767,0.9143,0.9129,0.0554
DenseNet121,Full,No,50176,RandomForest,0.7143,0.8,0.9412,0.8571,0.9143,0.8571,0.9412,0.973,0.9268,0.9444,0.8869,0.0762
DenseNet121,Full,No,50176,Adaboost,0.8387,0.6923,0.8571,0.9048,0.9091,0.8947,0.9143,0.9231,0.9767,0.9189,0.883,0.0728
DenseNet121,Full,No,50176,Gaussian,0.8,0.6667,0.9412,0.8095,0.7742,0.8571,0.8235,0.8824,0.9048,0.9,0.8359,0.0756
DenseNet169,Full,No,81536,PCC,0.75,0.7097,0.7368,0.8571,0.8333,0.8421,0.8205,0.8649,0.8182,0.8205,0.8053,0.0509
DenseNet169,Full,No,81536,J48,0.7143,0.7097,0.7647,0.7778,0.6286,0.7895,0.7742,0.8333,0.7907,0.7619,0.7545,0.0541
DenseNet169,Full,No,81536,RBF,0.9333,0.9231,0.9143,0.8571,0.8889,0.8947,0.8333,0.9143,0.9767,0.9189,0.9055,0.038
DenseNet169,Full,No,81536,LinearSVM,0.9655,0.7857,0.9697,0.8889,0.8824,0.9189,0.8889,0.9143,0.9545,0.9444,0.9113,0.052
DenseNet169,Full,No,81536,MLP,0.8966,0.9231,0.9375,0.9091,0.875,0.9143,0.8889,0.8485,0.9524,0.9189,0.9064,0.0289
DenseNet169,Full,No,81536,Logistic,0.9655,0.7857,0.9412,0.8889,0.8571,0.9189,0.8889,0.9444,0.9767,0.9444,0.9112,0.0548
DenseNet169,Full,No,81536,RandomForest,0.9032,0.9167,0.9143,0.878,0.8571,0.973,0.8571,0.8889,0.878,0.9143,0.8981,0.0328
DenseNet169,Full,No,81536,Adaboost,0.8824,0.8333,0.8571,0.878,0.875,0.8889,0.8889,0.9091,0.9767,0.9189,0.8908,0.0367
DenseNet169,Full,No,81536,Gaussian,0.7097,0.8571,0.7895,0.7907,0.7333,0.8947,0.8333,0.8824,0.9302,0.8718,0.8293,0.0682
DenseNet201,Full,No,94080,PCC,0.6667,0.7097,0.7778,0.7907,0.7692,0.85,0.7895,0.878,0.7442,0.8,0.7776,0.0585
DenseNet201,Full,No,94080,J48,0.75,0.6429,0.7647,0.7179,0.7895,0.7742,0.75,0.8235,0.8889,0.8333,0.7735,0.064
