Metodo;Fold;ACC
VGG19_ReliefF_300_LinearSVM;1;0,8
VGG19_ReliefF_300_MLP;1;0,8
VGG19_ReliefF_300_Logistic;1;0,8
VGG19_ReliefF_300_RandomForest;1;0,8571
VGG19_ReliefF_300_Adaboost;1;0,8286
VGG19_ReliefF_300_Gaussian;1;0,7429
VGG19_ReliefF_300_J48;2;0,6571
VGG19_ReliefF_300_RBF;2;0,8571
VGG19_ReliefF_300_LinearSVM;2;0,7714
VGG19_ReliefF_300_MLP;2;0,7429
VGG19_ReliefF_300_Logistic;2;0,8286
VGG19_ReliefF_300_RandomForest;2;0,8857
VGG19_ReliefF_300_Adaboost;2;0,8571
VGG19_ReliefF_300_Gaussian;2;0,8571
VGG19_ReliefF_300_J48;3;0,8529
VGG19_ReliefF_300_RBF;3;0,9118
VGG19_ReliefF_300_LinearSVM;3;0,8824
VGG19_ReliefF_300_MLP;3;0,7941
VGG19_ReliefF_300_Logistic;3;0,8824
VGG19_ReliefF_300_RandomForest;3;0,8529
VGG19_ReliefF_300_Adaboost;3;0,8824
VGG19_ReliefF_300_Gaussian;3;0,9118
VGG19_ReliefF_300_J48;4;0,8235
VGG19_ReliefF_300_RBF;4;0,8824
VGG19_ReliefF_300_LinearSVM;4;0,8529
VGG19_ReliefF_300_MLP;4;0,7353
VGG19_ReliefF_300_Logistic;4;0,8824
VGG19_ReliefF_300_RandomForest;4;0,8529
VGG19_ReliefF_300_Adaboost;4;0,8235
VGG19_ReliefF_300_Gaussian;4;0,7059
VGG19_ReliefF_300_J48;5;0,7353
VGG19_ReliefF_300_RBF;5;0,7647
VGG19_ReliefF_300_LinearSVM;5;0,8235
VGG19_ReliefF_300_MLP;5;0,7059
VGG19_ReliefF_300_Logistic;5;0,7941
VGG19_ReliefF_300_RandomForest;5;0,7647
VGG19_ReliefF_300_Adaboost;5;0,8235
VGG19_ReliefF_300_Gaussian;5;0,7353
VGG19_ReliefF_300_J48;6;0,7941
VGG19_ReliefF_300_RBF;6;0,8824
VGG19_ReliefF_300_LinearSVM;6;0,8529
VGG19_ReliefF_300_MLP;6;0,8529
VGG19_ReliefF_300_Logistic;6;0,8529
VGG19_ReliefF_300_RandomForest;6;0,8824
VGG19_ReliefF_300_Adaboost;6;0,8529
VGG19_ReliefF_300_Gaussian;6;0,8824
VGG19_ReliefF_300_J48;7;0,8529
VGG19_ReliefF_300_RBF;7;0,8529
VGG19_ReliefF_300_LinearSVM;7;0,9118
VGG19_ReliefF_300_MLP;7;0,9118
VGG19_ReliefF_300_Logistic;7;0,8824
VGG19_ReliefF_300_RandomForest;7;0,8529
VGG19_ReliefF_300_Adaboost;7;0,8235
