FeatureExtraction;DimReduction;Normalization;NumberComponents;Classifier;KFold01_Accuracy;KFold02_Accuracy;KFold03_Accuracy;KFold04_Accuracy;KFold05_Accuracy;KFold06_Accuracy;KFold07_Accuracy;KFold08_Accuracy;KFold09_Accuracy;KFold10_Accuracy;Accuracy_Mean;Accuracy_SD
MobileNet+ResNet50_n_feat;UMAP;No;300;LinearSVM;0,7143;0,7143;0,7647;0,8235;0,7647;0,7941;0,7647;0,7941;0,8235;0,8529;0,7811;0,0434
MobileNet+ResNet50_n_feat;UMAP;No;300;MLP;0,6571;0,7429;0,5;0,6471;0,7059;0,4706;0,6765;0,6471;0,5588;0,7353;0,6341;0,0896
MobileNet+ResNet50_n_feat;UMAP;No;300;Logistic;0,8286;0,8857;0,8529;0,8235;0,7353;0,7647;0,7941;0,8824;0,7941;0,8824;0,8244;0,0496
MobileNet+ResNet50_n_feat;UMAP;No;300;RandomForest;0,8286;0,9143;0,8824;0,8235;0,8235;0,8235;0,8529;0,8824;0,7941;0,8529;0,8478;0,0345
MobileNet+ResNet50_n_feat;UMAP;No;300;Adaboost;0,8286;0,8286;0,8235;0,9118;0,7059;0,8824;0,8529;0,7647;0,7941;0,8235;0,8216;0,055
MobileNet+ResNet50_n_feat;UMAP;No;300;Gaussian;0,7714;0,8857;0,7941;0,8235;0,7941;0,7647;0,6765;0,8235;0,7647;0,8235;0,7922;0,052
Xception+ResNet50_n_feat;PCA;No;300;J48;0,7143;0,7143;0,7647;0,7353;0,7059;0,7059;0,6765;0,7059;0,7059;0,7647;0,7193;0,0264
Xception+ResNet50_n_feat;PCA;No;300;RBF;0,9143;0,9143;0,9706;0,8529;0,9706;0,9412;0,8824;0,8824;0,8824;0,9412;0,9152;0,0382
Xception+ResNet50_n_feat;PCA;No;300;LinearSVM;0,9429;0,8;0,8824;0,9706;0,9706;0,8824;0,9118;0,9706;0,8824;0,8529;0,9066;0,0544
Xception+ResNet50_n_feat;PCA;No;300;MLP;0,7714;0,6571;0,7941;0,7353;0,8529;0,7059;0,8529;0,7647;0,8529;0,8824;0,787;0,07
Xception+ResNet50_n_feat;PCA;No;300;Logistic;0,9429;0,8571;0,8824;0,9412;1;0,8824;0,9118;0,9706;0,8824;0,8824;0,9153;0,044
Xception+ResNet50_n_feat;PCA;No;300;RandomForest;0,8857;0,8857;0,8824;0,8824;0,8529;0,8824;0,7647;0,8824;0,9118;0,8235;0,8654;0,0402
Xception+ResNet50_n_feat;PCA;No;300;Adaboost;0,8571;0,8857;0,7941;0,8529;0,8235;0,7647;0,8235;0,8529;0,8529;0,8235;0,8331;0,0332
Xception+ResNet50_n_feat;PCA;No;300;Gaussian;0,7429;0,7714;0,7059;0,7059;0,7353;0,6765;0,7059;0,7353;0,7353;0,6176;0,7132;0,0405
Xception+ResNet50_n_feat;UMAP;No;300;J48;0,8;0,7714;0,7059;0,7647;0,8824;0,8235;0,9118;0,7941;0,6765;0,7941;0,7924;0,0675
Xception+ResNet50_n_feat;UMAP;No;300;RBF;0,5429;0,4571;0,6471;0,7647;0,7059;0,6765;0,7059;0,6765;0,6765;0,7647;0,6618;0,0905
Xception+ResNet50_n_feat;UMAP;No;300;LinearSVM;0,6857;0,8286;0,7353;0,8235;0,8235;0,8235;0,7353;0,7353;0,7941;0,8235;0,7808;0,05
Xception+ResNet50_n_feat;UMAP;No;300;MLP;0,6;0,7429;0,5;0,7059;0,6765;0,5;0,7059;0,5;0,4706;0,5588;0,5961;0,0985
Xception+ResNet50_n_feat;UMAP;No;300;Logistic;0,7429;0,8286;0,8235;0,8235;0,7941;0,8235;0,8529;0,8529;0,8235;0,7941;0,816;0,0307
Xception+ResNet50_n_feat;UMAP;No;300;RandomForest;0,7429;0,8857;0,8824;0,8824;0,8824;0,7647;0,9412;0,8824;0,8235;0,9412;0,8629;0,0632
Xception+ResNet50_n_feat;UMAP;No;300;Adaboost;0,8;0,8286;0,7941;0,8529;0,8529;0,8529;0,8529;0,8529;0,7941;0,8824;0,8364;0,0291
Xception+ResNet50_n_feat;UMAP;No;300;Gaussian;0,7143;0,8571;0,7353;0,8529;0,7941;0,7647;0,7353;0,7941;0,8235;0,8529;0,7924;0,0509
VGG16+VGG19_n_feat;PCA;No;300;J48;0,6857;0,8;0,8235;0,7941;0,7059;0,7941;0,7059;0,7647;0,7059;0,7059;0,7486;0,0489
VGG16+VGG19_n_feat;PCA;No;300;RBF;0,7714;0,8286;0,9412;0,7353;0,8235;0,9118;0,8824;0,8824;0,8824;0,9118;0,8571;0,0625
VGG16+VGG19_n_feat;PCA;No;300;LinearSVM;0,8857;0,7714;0,9118;0,7647;0,8824;0,8529;0,9118;0,9412;0,9412;0,8235;0,8687;0,061
VGG16+VGG19_n_feat;PCA;No;300;MLP;0,6;0,6286;0,8824;0,8235;0,7941;0,7059;0,7059;0,7059;0,7941;0,7647;0,7405;0,0832
VGG16+VGG19_n_feat;PCA;No;300;Logistic;0,8857;0,8;0,9412;0,7647;0,8824;0,8529;0,9118;0,9412;0,9412;0,8529;0,8774;0,0578
VGG16+VGG19_n_feat;PCA;No;300;RandomForest;0,6286;0,7143;0,8824;0,7353;0,7353;0,7941;0,8235;0,8529;0,8529;0,8529;0,7872;0,077
VGG16+VGG19_n_feat;PCA;No;300;Adaboost;0,8286;0,6571;0,9706;0,8235;0,7941;0,8235;0,8235;0,8235;0,7941;0,7941;0,8133;0,0713
VGG16+VGG19_n_feat;PCA;No;300;Gaussian;0,5429;0,6571;0,7353;0,6471;0,5294;0,7059;0,7353;0,7647;0,8529;0,6176;0,6788;0,0953
VGG16+VGG19_n_feat;UMAP;No;300;J48;0,7429;0,5714;0,6176;0,7647;0,6471;0,5882;0,6471;0,6765;0,5;0,6471;0,6403;0,0742
VGG16+VGG19_n_feat;UMAP;No;300;RBF;0,4286;0,3429;0,5;0,5882;0,5;0,5294;0,5;0,5294;0,3529;0,5588;0,483;0,0784
VGG16+VGG19_n_feat;UMAP;No;300;LinearSVM;0,7143;0,7143;0,7647;0,7059;0,7941;0,7353;0,6176;0,7647;0,6765;0,7059;0,7193;0,0475
VGG16+VGG19_n_feat;UMAP;No;300;MLP;0,5714;0,6571;0,7647;0,5294;0,6765;0,5882;0,5588;0,5882;0,5294;0,5588;0,6023;0,0712
VGG16+VGG19_n_feat;UMAP;No;300;Logistic;0,7429;0,8286;0,7647;0,7647;0,7647;0,7353;0,6471;0,7941;0,7059;0,7353;0,7483;0,0467
VGG16+VGG19_n_feat;UMAP;No;300;RandomForest;0,7714;0,8286;0,8235;0,8235;0,7941;0,6765;0,6765;0,7647;0,8235;0,7059;0,7688;0,0585
VGG16+VGG19_n_feat;UMAP;No;300;Adaboost;0,7429;0,7714;0,7647;0,7941;0,7647;0,7059;0,6471;0,7647;0,7353;0,6471;0,7338;0,0488
VGG16+VGG19_n_feat;UMAP;No;300;Gaussian;0,7429;0,8;0,7059;0,7353;0,7353;0,6765;0,5882;0,7353;0,7353;0,7059;0,7161;0,0523
MobileNet+ResNet101_n_feat;PCA;No;250;J48;0,7143;0,8286;0,8235;0,7353;0,6765;0,7647;0,8235;0,9118;0,6765;0,7941;0,7749;0,0717
MobileNet+ResNet101_n_feat;PCA;No;250;RBF;0,8571;0,8571;0,9412;0,8529;0,9412;0,8824;0,9412;0,8824;0,9118;0,9412;0,9008;0,0366
MobileNet+ResNet101_n_feat;PCA;No;250;LinearSVM;0,8571;0,8571;0,9412;0,9412;0,9118;0,9118;0,9412;0,9412;0,8824;0,9118;0,9097;0,032
MobileNet+ResNet101_n_feat;PCA;No;250;MLP;0,7429;0,7429;0,9412;0,7059;0,7941;0,8235;0,7941;0,9118;0,9706;0,7647;0,8192;0,0867
MobileNet+ResNet101_n_feat;PCA;No;250;Logistic;0,8571;0,8286;0,9412;0,9412;0,9412;0,9118;0,8824;0,9412;0,8824;0,8824;0,9009;0,0385
MobileNet+ResNet101_n_feat;PCA;No;250;RandomForest;0,8286;0,9429;0,9412;0,8235;0,8824;0,8824;0,8824;0,9118;0,9118;0,9412;0,8948;0,0414
MobileNet+ResNet101_n_feat;PCA;No;250;Adaboost;0,9143;0,9143;0,8824;0,8529;0,9412;0,7941;0,8824;0,9412;0,9118;0,9706;0,9005;0,0479
MobileNet+ResNet101_n_feat;PCA;No;250;Gaussian;0,7429;0,7429;0,7353;0,6765;0,6765;0,7353;0,7059;0,7941;0,7941;0,5294;0,7133;0,0724
MobileNet+ResNet101_n_feat;UMAP;No;250;J48;0,7714;0,7714;0,7059;0,6176;0,7647;0,7353;0,7647;0,7353;0,6471;0,7941;0,7308;0,0549
MobileNet+ResNet101_n_feat;UMAP;No;250;RBF;0,5714;0,4;0,6176;0,7647;0,6765;0,5294;0,7353;0,7353;0,7353;0,6471;0,6413;0,1092
MobileNet+ResNet101_n_feat;UMAP;No;250;LinearSVM;0,7714;0,7429;0,7647;0,7941;0,7647;0,8235;0,7353;0,7941;0,7941;0,8235;0,7808;0,0288
MobileNet+ResNet101_n_feat;UMAP;No;250;MLP;0,4286;0,7429;0,5;0,6471;0,5588;0,8235;0,6176;0,7647;0,7353;0,5588;0,6377;0,1212
MobileNet+ResNet101_n_feat;UMAP;No;250;Logistic;0,8286;0,7714;0,7941;0,7941;0,6765;0,8529;0,7941;0,8235;0,7647;0,8235;0,7924;0,0464
MobileNet+ResNet101_n_feat;UMAP;No;250;RandomForest;0,8286;0,8286;0,8235;0,8235;0,8529;0,8529;0,7941;0,8529;0,7941;0,8529;0,8304;0,0218
