FeatureExtraction;DimReduction;Normalization;NumberComponents;Classifier;KFold01_Accuracy;KFold02_Accuracy;KFold03_Accuracy;KFold04_Accuracy;KFold05_Accuracy;KFold06_Accuracy;KFold07_Accuracy;KFold08_Accuracy;KFold09_Accuracy;KFold10_Accuracy;Accuracy_Mean;Accuracy_SD
VGG16+VGG19;ReliefF;No;20;Adaboost;0,7714;0,8;0,7353;0,7941;0,7941;0,7941;0,8824;0,7353;0,8824;0,7941;0,7983;0,0478
DenseNet201;ReliefF;No;10;Gaussian;0,7714;0,8;0,8824;0,7353;0,8235;0,8235;0,7647;0,7941;0,8235;0,7647;0,7983;0,0399
ResNet101+DenseNet121;UMAP;No;75;Logistic;0,7429;0,8286;0,7941;0,8235;0,7941;0,8824;0,7647;0,7941;0,7353;0,8235;0,7983;0,0418
ResNet101+MobileNetV2;UMAP;No;75;Logistic;0,7714;0,8;0,7353;0,8235;0,7941;0,8824;0,7647;0,7941;0,7941;0,8235;0,7983;0,0377
ResNet101+DenseNet121;PCA;No;20;J48;0,7714;0,8;0,6765;0,8529;0,8529;0,8235;0,8529;0,7353;0,7941;0,8235;0,7983;0,0546
VGG16+VGG19_n_feat;ReliefF;No;75;MLP;0,7143;0,8571;0,7647;0,8235;0,7941;0,7941;0,8529;0,7941;0,8235;0,7647;0,7983;0,0413
ResNet101+MobileNetV2_n_feat;ReliefF;No;20;MLP;0,7714;0,8;0,7353;0,7353;0,8529;0,7941;0,8824;0,7647;0,7941;0,8529;0,7983;0,0478
Xception+ResNet50_n_feat;UMAP;No;200;Gaussian;0,6857;0,8857;0,7647;0,8824;0,7353;0,8235;0,7059;0,8235;0,8235;0,8529;0,7983;0,0678
ResNet101+DenseNet121_n_feat;UMAP;No;20;LinearSVM;0,7714;0,8;0,7647;0,7353;0,8529;0,8529;0,7353;0,8529;0,7647;0,8529;0,7983;0,0478
Xception+ResNet50_n_feat;UMAP;No;20;MLP;0,7143;0,8571;0,7647;0,7941;0,7647;0,8235;0,8529;0,8235;0,7941;0,7941;0,7983;0,0413
EfficientNetB1+EfficientNetB5;Full;No;542720;Gaussian;0,7714;0,8;0,8529;0,7353;0,7353;0,8235;0,7647;0,8529;0,8824;0,7647;0,7983;0,0496
ResNet101+DenseNet121;PCA;No;2;MLP;0,7429;0,8286;0,7941;0,8235;0,7647;0,8529;0,7353;0,7941;0,7647;0,8824;0,7983;0,0458
ResNet152V2;PCA;No;2;Logistic;0,8286;0,7429;0,6765;0,7647;0,7941;0,8529;0,7941;0,8235;0,8235;0,8824;0,7983;0,056
EfficientNetB1+EfficientNetB5_n_feat;ReliefF;No;100;RandomForest;0,8286;0,7429;0,8529;0,7059;0,7353;0,7941;0,8235;0,8235;0,7353;0,9412;0,7983;0,0672
EfficientNetB1+EfficientNetB5_n_feat;UMAP;No;30;J48;0,8286;0,7429;0,8235;0,7059;0,7941;0,8824;0,7647;0,7647;0,8235;0,8529;0,7983;0,0511
EfficientNetB1+EfficientNetB5_n_feat;PCA;No;2;Adaboost;0,8286;0,7429;0,7353;0,6471;0,7941;0,8529;0,8235;0,8529;0,9118;0,7941;0,7983;0,071
EfficientNetB1+EfficientNetB5_n_feat;UMAP;No;75;MLP;0,8;0,7714;0,7647;0,7941;0,8235;0,8529;0,7059;0,8529;0,8529;0,7647;0,7983;0,046
ResNet101;UMAP;No;300;Logistic;0,8;0,8286;0,7647;0,7647;0,7941;0,8824;0,7353;0,7941;0,7941;0,8235;0,7982;0,0386
DenseNet201;PCA;No;300;Adaboost;0,8286;0,7714;0,8235;0,8235;0,7059;0,8235;0,7941;0,7941;0,7941;0,8235;0,7982;0,0357
DenseNet201;UMAP;No;300;Adaboost;0,7714;0,8286;0,7941;0,7941;0,7941;0,7059;0,7941;0,8824;0,7353;0,8824;0,7982;0,0532
ResNet50;UMAP;No;250;Logistic;0,7714;0,8286;0,7941;0,7941;0,7647;0,8235;0,7353;0,7941;0,7941;0,8824;0,7982;0,0381
EfficientNetB5;UMAP;No;250;Gaussian;0,8;0,8286;0,7941;0,7941;0,7941;0,8824;0,7353;0,7647;0,8235;0,7647;0,7982;0,0386
EfficientNetB1;UMAP;No;150;Logistic;0,8;0,8286;0,8235;0,7353;0,7941;0,8824;0,7353;0,8235;0,7941;0,7647;0,7982;0,0428
EfficientNetB2;UMAP;No;150;Logistic;0,8;0,8286;0,7353;0,7941;0,7647;0,8529;0,7647;0,8824;0,8235;0,7353;0,7982;0,0467
ResNet101V2;UMAP;No;150;J48;0,7429;0,8571;0,8235;0,7941;0,7941;0,7941;0,8529;0,8235;0,7353;0,7647;0,7982;0,0399
DenseNet121;UMAP;No;150;Adaboost;0,8286;0,7714;0,8529;0,8824;0,7647;0,8235;0,7353;0,8235;0,7353;0,7647;0,7982;0,0481
InceptionResNetV2;UMAP;No;100;RBF;0,7429;0,8571;0,7647;0,7941;0,7059;0,8529;0,7353;0,7941;0,8824;0,8529;0,7982;0,0577
MobileNet;PCA;No;100;MLP;0,7714;0,8571;0,9412;0,7059;0,8529;0,7647;0,7059;0,7941;0,8235;0,7647;0,7982;0,069
NASNetMobile;UMAP;No;75;RandomForest;0,8571;0,7429;0,7941;0,8529;0,7941;0,8529;0,7353;0,6471;0,9118;0,7941;0,7982;0,0723
EfficientNetB6;UMAP;No;75;Logistic;0,8286;0,8;0,7941;0,6471;0,8235;0,8824;0,7353;0,8824;0,7647;0,8235;0,7982;0,0666
MobileNet;UMAP;No;50;J48;0,8286;0,8;0,8529;0,7647;0,7059;0,8235;0,7059;0,8235;0,8529;0,8235;0,7982;0,052
DenseNet169;UMAP;No;50;MLP;0,7143;0,9143;0,8235;0,8235;0,7353;0,7941;0,7353;0,8235;0,8529;0,7647;0,7982;0,0587
EfficientNetB1;PCA;No;50;J48;0,8;0,8;0,7353;0,6765;0,9118;0,7941;0,7941;0,8235;0,8824;0,7647;0,7982;0,0637
EfficientNetB3;UMAP;No;50;Logistic;0,8;0,8;0,7941;0,8529;0,7941;0,7941;0,7647;0,7941;0,8235;0,7647;0,7982;0,0244
ResNet50;UMAP;No;40;Logistic;0,7714;0,8286;0,7647;0,7941;0,7647;0,8824;0,7647;0,7941;0,7647;0,8529;0,7982;0,0403
InceptionResNetV2;UMAP;No;40;MLP;0,7714;0,8571;0,6765;0,7941;0,7647;0,8824;0,7353;0,7941;0,7941;0,9118;0,7982;0,0664
EfficientNetB2;PCA;No;40;Adaboost;0,8;0,8286;0,7941;0,7941;0,7059;0,8529;0,7647;0,8235;0,7941;0,8235;0,7982;0,0386
EfficientNetB3;UMAP;No;40;J48;0,8571;0,7714;0,7647;0,9118;0,8235;0,8529;0,6176;0,7941;0,7941;0,7941;0,7982;0,0738
InceptionResNetV2;UMAP;No;30;RBF;0,7429;0,8571;0,7647;0,7647;0,7647;0,8529;0,7059;0,7941;0,8824;0,8529;0,7982;0,0561
InceptionResNetV2;UMAP;No;30;Logistic;0,8286;0,8;0,6765;0,7941;0,7941;0,8824;0,7353;0,7941;0,8235;0,8529;0,7982;0,0552
DenseNet201;UMAP;No;30;Logistic;0,7714;0,8286;0,7059;0,8529;0,7059;0,8235;0,7647;0,8529;0,8235;0,8529;0,7982;0,0548
EfficientNetB5;UMAP;No;30;Gaussian;0,8;0,8286;0,7647;0,7941;0,7647;0,8529;0,7647;0,7941;0,8235;0,7941;0,7982;0,0282
MobileNet;UMAP;No;20;Gaussian;0,8286;0,8;0,8235;0,7353;0,7647;0,8235;0,7941;0,8235;0,7941;0,7941;0,7982;0,0282
DenseNet169;UMAP;No;20;MLP;0,7429;0,8857;0,7941;0,7941;0,7353;0,7647;0,7647;0,8529;0,8529;0,7941;0,7982;0,0479
EfficientNetB7;UMAP;No;20;MLP;0,8857;0,7143;0,8235;0,7353;0,7353;0,8529;0,7941;0,8824;0,7353;0,8235;0,7982;0,0616
ResNet101;PCA;No;10;J48;0,8;0,8286;0,7941;0,7941;0,8824;0,7647;0,7059;0,7647;0,7941;0,8529;0,7982;0,0467
DenseNet169;ReliefF;No;250;MLP;0,7429;0,8857;0,7941;0,7647;0,7059;0,8235;0,7941;0,9118;0,7647;0,7941;0,7982;0,0592
Xception;ReliefF;No;150;Gaussian;0,8;0,8;0,7059;0,7647;0,7353;0,9412;0,7941;0,9118;0,7353;0,7941;0,7982;0,0714
VGG16;ReliefF;No;150;MLP;0,7429;0,8571;0,7353;0,8235;0,7059;0,8235;0,7941;0,7941;0,8235;0,8824;0,7982;0,053
VGG16;ReliefF;No;75;Logistic;0,7143;0,9143;0,7353;0,7353;0,7647;0,7941;0,7647;0,8824;0,8235;0,8529;0,7982;0,0644
EfficientNetB2;ReliefF;No;75;MLP;0,8;0,8;0,8235;0,7059;0,7941;0,9118;0,7353;0,8529;0,9118;0,6471;0,7982;0,0805
Xception+ResNet50;ReliefF;No;40;J48;0,7143;0,8857;0,6765;0,8235;0,7941;0,8529;0,7941;0,7941;0,8529;0,7941;0,7982;0,0602
Xception;ReliefF;No;40;Adaboost;0,8571;0,7714;0,7941;0,8235;0,7647;0,8529;0,8235;0,8235;0,7059;0,7647;0,7982;0,0446
DenseNet201;PCA;No;10;Gaussian;0,8286;0,8;0,7353;0,6765;0,8235;0,8824;0,7941;0,7353;0,8235;0,8824;0,7982;0,0625
ResNet101+MobileNetV2;UMAP;No;150;RandomForest;0,7143;0,8857;0,8824;0,7941;0,7941;0,7941;0,7941;0,7059;0,7941;0,8235;0,7982;0,0557
MobileNet+ResNet101;UMAP;No;100;Adaboost;0,7714;0,8286;0,7941;0,8235;0,8824;0,7647;0,8529;0,7941;0,7353;0,7353;0,7982;0,0463
ResNet101+DenseNet121;PCA;No;10;J48;0,7429;0,8857;0,6765;0,7353;0,8529;0,7353;0,7941;0,8235;0,8529;0,8824;0,7982;0,0687
ResNet101+DenseNet121;UMAP;No;10;RandomForest;0,8;0,8286;0,8529;0,8235;0,7941;0,7353;0,7647;0,7353;0,8235;0,8235;0,7982;0,0386
MobileNet+ResNet50_n_feat;ReliefF;No;300;J48;0,8571;0,7429;0,8235;0,8824;0,6471;0,7647;0,8529;0,7941;0,8529;0,7647;0,7982;0,0673
ResNet101+DenseNet169_n_feat;ReliefF;No;100;J48;0,7714;0,8571;0,8235;0,7941;0,7941;0,6765;0,8235;0,8235;0,8824;0,7353;0,7982;0,0566
VGG16+VGG19_n_feat;ReliefF;No;50;Adaboost;0,7714;0,8571;0,7647;0,8529;0,7059;0,8235;0,7647;0,8235;0,7941;0,8235;0,7982;0,0446
ResNet101+DenseNet169_n_feat;ReliefF;No;40;J48;0,8286;0,8;0,6471;0,7647;0,8235;0,8824;0,8235;0,9118;0,7353;0,7647;0,7982;0,0716
EfficientNetB0+MobileNet_n_feat;ReliefF;No;30;Gaussian;0,8;0,8286;0,7941;0,7059;0,7353;0,8529;0,7941;0,7353;0,9412;0,7941;0,7982;0,0639
ResNet101+DenseNet121_n_feat;PCA;No;100;J48;0,8286;0,8;0,8235;0,8235;0,7941;0,8529;0,7941;0,7353;0,7647;0,7647;0,7982;0,0338
ResNet101+DenseNet121_n_feat;UMAP;No;50;J48;0,8571;0,7714;0,8824;0,7647;0,7353;0,7941;0,7647;0,7647;0,7941;0,8529;0,7982;0,0465
ResNet101+DenseNet169_n_feat;UMAP;No;30;Adaboost;0,7429;0,8571;0,8529;0,7941;0,7941;0,8824;0,7941;0,7941;0,7059;0,7647;0,7982;0,0513
EfficientNetB0+MobileNet_n_feat;UMAP;No;20;J48;0,8286;0,8;0,8529;0,7647;0,8529;0,8824;0,7647;0,7059;0,7059;0,8235;0,7982;0,0583
Xception+ResNet50_n_feat;UMAP;No;20;Gaussian;0,7429;0,8571;0,7647;0,8235;0,7647;0,8824;0,6765;0,8529;0,7647;0,8529;0,7982;0,062
MobileNet+ResNet50_n_feat;PCA;No;75;J48;0,8286;0,7714;0,7941;0,6765;0,8824;0,7941;0,8529;0,8529;0,8235;0,7059;0,7982;0,0622
MobileNet+ResNet101;PCA;No;2;RBF;0,7429;0,8571;0,7941;0,8529;0,7647;0,8235;0,7647;0,7353;0,7059;0,9412;0,7982;0,0673
MobileNetV2;UMAP;No;2;RBF;0,8;0,8;0,8529;0,7059;0,7941;0,8235;0,7353;0,7941;0,7647;0,9118;0,7982;0,0549
EfficientNetB1+EfficientNetB5_n_feat;UMAP;No;200;RBF;0,7714;0,8571;0,6765;0,7941;0,7941;0,8529;0,7941;0,8235;0,8529;0,7647;0,7982;0,0518
EfficientNetB0;UMAP;No;300;Gaussian;0,8286;0,8286;0,8235;0,7059;0,8529;0,8824;0,7059;0,8529;0,7647;0,7353;0,7981;0,0614
ResNet101V2;PCA;No;250;J48;0,8857;0,7714;0,7059;0,7647;0,6765;0,8824;0,8824;0,8529;0,8235;0,7353;0,7981;0,0739
ResNet101V2;UMAP;No;250;J48;0,7429;0,9143;0,7941;0,8529;0,8529;0,6765;0,8235;0,8529;0,7941;0,6765;0,7981;0,0747
EfficientNetB4;PCA;No;250;RandomForest;0,7714;0,8857;0,8235;0,7647;0,7059;0,7647;0,7353;0,8529;0,8235;0,8529;0,7981;0,0551
EfficientNetB5;UMAP;No;250;LinearSVM;0,7714;0,8857;0,7353;0,7941;0,7941;0,8824;0,6765;0,7941;0,8529;0,7941;0,7981;0,0611
ResNet101V2;UMAP;No;200;Gaussian;0,7429;0,9143;0,7941;0,8529;0,7353;0,7647;0,7353;0,7647;0,8529;0,8235;0,7981;0,0577
ResNet152V2;PCA;No;200;J48;0,8571;0,8;0,7941;0,7941;0,8235;0,7647;0,7647;0,8235;0,7647;0,7941;0,7981;0,0286
EfficientNetB6;PCA;No;150;RandomForest;0,7714;0,8857;0,8529;0,7647;0,7941;0,8235;0,6765;0,8529;0,7647;0,7941;0,7981;0,0567
EfficientNetB5;UMAP;No;40;LinearSVM;0,7714;0,8857;0,7353;0,7941;0,7941;0,9118;0,7059;0,7647;0,8529;0,7647;0,7981;0,0625
EfficientNetB5;UMAP;No;30;RBF;0,7714;0,8857;0,7353;0,7647;0,7941;0,8824;0,7647;0,7941;0,8235;0,7647;0,7981;0,0484
EfficientNetB4;UMAP;No;20;Adaboost;0,8286;0,8286;0,7941;0,7353;0,7059;0,8235;0,8235;0,8235;0,8235;0,7941;0,7981;0,0411
EfficientNetB0;ReliefF;No;300;Adaboost;0,7714;0,8857;0,8529;0,7941;0,7647;0,7941;0,7353;0,8235;0,8529;0,7059;0,7981;0,0535
InceptionV3;ReliefF;No;250;MLP;0,7714;0,8857;0,7941;0,8824;0,6176;0,7941;0,9118;0,7941;0,7647;0,7647;0,7981;0,0795
MobileNet+ResNet50;PCA;No;100;J48;0,9143;0,7429;0,7647;0,7059;0,8824;0,7647;0,8235;0,8235;0,8529;0,7059;0,7981;0,0687
MobileNet+ResNet50_n_feat;UMAP;No;200;Logistic;0,7714;0,8857;0,8529;0,7647;0,7353;0,8235;0,7353;0,7647;0,7647;0,8824;0,7981;0,0551
MobileNet+ResNet101_n_feat;UMAP;No;150;J48;0,8571;0,8;0,7353;0,7647;0,7941;0,7941;0,7647;0,8235;0,8529;0,7941;0,7981;0,0366
EfficientNetB5;UMAP;No;300;RBF;0,8;0,8857;0,7353;0,8235;0,7941;0,9118;0,7647;0,7647;0,6765;0,8235;0,798;0,0655
InceptionV3;PCA;No;75;Adaboost;0,8857;0,8;0,7059;0,7941;0,7941;0,7941;0,7059;0,8235;0,7941;0,8824;0,798;0,057
EfficientNetB5;UMAP;No;50;Gaussian;0,8286;0,8571;0,7647;0,8235;0,7647;0,8824;0,7647;0,7647;0,7647;0,7647;0,798;0,0434
DenseNet169;UMAP;No;40;Adaboost;0,8;0,8857;0,8824;0,7647;0,7647;0,8235;0,7647;0,8824;0,6471;0,7647;0,798;0,0706
InceptionV3;ReliefF;No;300;MLP;0,7714;0,9143;0,7941;0,8235;0,6471;0,8235;0,8824;0,7941;0,7353;0,7941;0,798;0,0703
ResNet101V2;ReliefF;No;100;Logistic;0,8;0,8857;0,7353;0,7941;0,7353;0,7647;0,7647;0,7353;0,8529;0,9118;0,798;0,0614
ResNet101+DenseNet169_n_feat;UMAP;No;100;Gaussian;0,8;0,8857;0,7647;0,8529;0,7353;0,7647;0,7059;0,7941;0,8235;0,8529;0,798;0,0539
ResNet101+DenseNet169_n_feat;UMAP;No;30;Gaussian;0,8286;0,8571;0,7647;0,8529;0,7941;0,8235;0,6471;0,7647;0,7941;0,8529;0,798;0,0601
ResNet101+MobileNetV2_n_feat;UMAP;No;20;J48;0,8286;0,8571;0,8235;0,7647;0,7941;0,7647;0,7647;0,8235;0,7647;0,7941;0,798;0,0319
EfficientNetB1+EfficientNetB5;UMAP;No;300;J48;0,8571;0,8286;0,8529;0,6471;0,7059;0,8235;0,7059;0,8529;0,8824;0,8235;0,798;0,0766
InceptionResNetV2;PCA;No;100;LinearSVM;0,7714;0,9429;0,8235;0,7647;0,6765;0,8529;0,7353;0,7941;0,8235;0,7941;0,7979;0,0677
EfficientNetB4;UMAP;No;50;J48;0,8286;0,8857;0,7353;0,7941;0,7353;0,7941;0,7941;0,7647;0,8529;0,7941;0,7979;0,0455
ResNet50V2;UMAP;No;40;RandomForest;0,8;0,9143;0,7647;0,7941;0,7647;0,7647;0,7647;0,7941;0,7941;0,8235;0,7979;0,0432
ResNet101V2;ReliefF;No;30;Logistic;0,8571;0,8571;0,7647;0,7059;0,7941;0,7941;0,9118;0,6471;0,7941;0,8529;0,7979;0,0744
MobileNet+ResNet101_n_feat;UMAP;No;150;Gaussian;0,8;0,9143;0,7941;0,8824;0,7059;0,8235;0,6471;0,8235;0,7353;0,8529;0,7979;0,0776
MobileNet+ResNet101_n_feat;UMAP;No;50;Gaussian;0,7714;0,9429;0,7941;0,7941;0,7353;0,8235;0,6471;0,8529;0,7647;0,8529;0,7979;0,075
MobileNet+ResNet101_n_feat;UMAP;No;30;Gaussian;0,8;0,9143;0,7941;0,8529;0,7059;0,8235;0,6765;0,7647;0,7941;0,8529;0,7979;0,0668
EfficientNetB1+EfficientNetB5;PCA;No;50;MLP;0,8571;0,8571;0,7353;0,7647;0,8235;0,7353;0,8235;0,8235;0,7647;0,7941;0,7979;0,0436
EfficientNetB6;PCA;No;150;Adaboost;0,8;0,9429;0,8529;0,7353;0,7941;0,8529;0,6765;0,8235;0,6471;0,8529;0,7978;0,085
EfficientNetB0+MobileNet;PCA;No;40;J48;0,9143;0,8286;0,8529;0,7059;0,8235;0,8529;0,7059;0,7647;0,7647;0,7647;0,7978;0,0644
EfficientNetB0;PCA;No;30;J48;0,6286;0,6857;0,8824;0,8235;0,8235;0,8235;0,7647;0,8529;0,8824;0,7941;0,7961;0,0785
InceptionV3;ReliefF;No;30;LinearSVM;0,7143;0,6571;0,8235;0,7647;0,8529;0,8824;0,8824;0,7941;0,7941;0,7941;0,796;0,0677
VGG19;PCA;No;150;RandomForest;0,6286;0,7714;0,9118;0,7941;0,7353;0,8529;0,7059;0,7941;0,9412;0,8235;0,7959;0,0888
