method,cnn,reduction,classifier,features,Components,acc,f1,roc
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F150,83.8235,86.0898,83.8550
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F200,84.0756,84.6052,84.3137
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F250,85.2941,86.9748,86.3149
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F300,85.7143,87.0432,86.9938
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F350,nan,nan,nan
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F400,nan,nan,nan
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F450,nan,nan,nan
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F500,nan,nan,nan
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F550,nan,nan,nan
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F600,nan,nan,nan
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F700,nan,nan,nan
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F800,nan,nan,nan
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F900,nan,nan,nan
Xception_PCA_LinearSVM,Xception,PCA,LinearSVM,204800.0,F1000,nan,nan,nan
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F2,62.8571,59.7148,64.6531
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F10,82.6050,80.5704,83.6584
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F20,83.8235,84.0336,83.3193
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F30,83.8235,85.2814,84.0420
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F40,82.6050,84.6052,83.6007
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F50,85.2941,86.4025,84.1071
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F75,82.3529,85.2870,81.3936
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F100,80.8824,83.9657,80.9334
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F150,79.4118,80.5405,79.9744
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F200,72.5210,74.0854,72.3958
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F250,72.0588,73.9849,72.0588
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F300,61.7647,67.4797,61.4379
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F350,nan,nan,nan
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F400,nan,nan,nan
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F450,nan,nan,nan
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F500,nan,nan,nan
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F550,nan,nan,nan
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F600,nan,nan,nan
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F700,nan,nan,nan
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F800,nan,nan,nan
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F900,nan,nan,nan
Xception_PCA_MLP,Xception,PCA,MLP,204800.0,F1000,nan,nan,nan
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F2,63.2353,67.4325,63.5479
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F10,84.0756,85.1037,84.4994
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F20,83.8235,83.7960,83.8226
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F30,86.9748,87.6525,86.9617
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F40,85.5042,87.4922,86.2474
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F50,85.2941,87.1457,85.9059
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F75,79.7059,81.5018,78.9693
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F100,79.4118,81.0256,80.0138
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F150,85.2941,87.1795,85.3256
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F200,85.2941,86.1004,85.7173
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F250,86.7647,87.9360,87.5959
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F300,88.2353,88.8889,88.2353
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F350,nan,nan,nan
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F400,nan,nan,nan
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F450,nan,nan,nan
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F500,nan,nan,nan
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F550,nan,nan,nan
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F600,nan,nan,nan
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F700,nan,nan,nan
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F800,nan,nan,nan
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F900,nan,nan,nan
Xception_PCA_Logistic,Xception,PCA,Logistic,204800.0,F1000,nan,nan,nan
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F2,63.7815,62.6786,65.2101
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F10,82.6050,84.4355,82.8431
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F20,86.7647,86.1004,86.3312
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F30,84.0756,86.9748,85.9025
Xception_PCA_RandomForest,Xception,PCA,RandomForest,204800.0,F40,85.2941,86.1004,85.6012
