method,cnn,reduction,classifier,features,F002,F010,F020,F030,F040,F050,F075,F100,F150,F200,F250,F300,Full,Mean,Sd,MedianQ2,Q1_25%,Q3_75%,Max,Min 
ResNet101+DenseNet169_PCA_Adaboost,ResNet101+DenseNet169,PCA,Adaboost,181888.0,75.0000,85.2941,82.3529,85.2941,89.8740,88.2353,89.8740,86.9748,89.8740,85.5042,88.2353,87.1428,87.7227,85.6569,6.5869,88.2353,82.3529,89.2227,100.0000,57.1429
ResNet101+DenseNet169_PCA_Gaussian,ResNet101+DenseNet169,PCA,Gaussian,181888.0,79.4118,82.6050,82.6050,73.9076,76.8067,70.5882,67.6471,66.1765,69.1176,66.6807,67.6471,67.6471,65.7647,72.5735,8.5058,71.4286,67.6471,79.4118,94.1176,55.8824
ResNet101+DenseNet169_UMAP_PCC,ResNet101+DenseNet169,UMAP,PCC,181888.0,73.5294,76.8067,76.4706,76.4706,77.9412,73.9076,75.3782,76.8067,76.8067,76.4706,77.1429,73.9076,73.7143,76.5910,5.1399,76.4706,73.5294,79.4118,91.1765,58.8235
ResNet101+DenseNet169_UMAP_J48,ResNet101+DenseNet169,UMAP,J48,181888.0,70.5882,75.0000,72.4790,70.5882,75.0000,70.5882,72.4790,83.8235,76.8067,73.9076,75.0000,72.0588,74.2941,73.5448,6.8435,73.5294,70.5882,79.4118,88.2353,55.8824
ResNet101+DenseNet169_UMAP_RBF,ResNet101+DenseNet169,UMAP,RBF,181888.0,73.9076,73.5294,70.5882,75.0000,72.0588,69.1176,73.5294,73.5294,64.7059,64.7059,61.7647,58.8235,89.1933,66.9167,10.9286,70.5882,61.7647,73.7185,85.2941,37.1429
ResNet101+DenseNet169_UMAP_LinearSVM,ResNet101+DenseNet169,UMAP,LinearSVM,181888.0,55.8824,75.0000,75.3782,75.3782,75.3782,75.3782,76.4706,75.0000,73.9076,76.4706,76.4706,73.5294,92.1260,74.3207,7.2896,74.2857,73.5294,79.4118,85.2941,42.8571
ResNet101+DenseNet169_UMAP_MLP,ResNet101+DenseNet169,UMAP,MLP,181888.0,70.5882,79.4118,77.9412,77.9412,77.9412,75.0000,76.4706,69.1176,59.4538,55.8824,51.4706,57.3529,88.6134,68.7031,13.0937,72.4790,61.7647,76.6387,91.1765,34.2857
ResNet101+DenseNet169_UMAP_Logistic,ResNet101+DenseNet169,UMAP,Logistic,181888.0,59.4117,77.9412,79.4118,79.4118,77.9412,79.4118,80.8824,79.4118,77.9412,79.4118,79.4118,76.8067,92.1260,77.7913,7.2353,79.4118,76.4706,80.5882,91.1765,45.7143
ResNet101+DenseNet169_UMAP_RandomForest,ResNet101+DenseNet169,UMAP,RandomForest,181888.0,76.4706,78.2773,82.3529,77.9412,85.2941,80.8824,80.8824,79.4118,80.8824,80.8824,79.4118,79.4118,90.0672,80.0252,5.2182,79.4118,76.4706,83.4664,91.1765,64.7059
ResNet101+DenseNet169_UMAP_Adaboost,ResNet101+DenseNet169,UMAP,Adaboost,181888.0,75.3782,75.0000,78.2773,73.5294,75.3782,76.8067,76.4706,76.4706,76.8067,72.0588,79.4118,75.0000,87.7227,75.8789,5.9375,76.4706,73.5294,79.4118,88.2353,55.8824
