method,cnn,reduction,classifier,features,F002,F010,F020,F030,F040,F050,F075,F100,F150,F200,F250,F300,Full,Mean,Sd,MedianQ2,Q1_25%,Q3_75%,Max,Min 
VGG16_UMAP_MLP,VGG16,UMAP,MLP,25088.0,63.2353,64.2857,66.6807,67.6471,66.1765,69.1176,55.8824,54.4118,47.0588,50.0000,50.0000,54.4118,88.9075,58.1212,11.2146,58.8235,50.0000,67.6471,80.0000,34.2857
VGG16_UMAP_Logistic,VGG16,UMAP,Logistic,25088.0,62.3109,66.1765,70.5882,70.5882,70.5882,69.1176,73.5294,73.5294,71.0084,71.0084,72.4790,69.1176,89.7815,69.4440,6.2468,70.5882,64.7059,73.5294,82.3529,48.5714
VGG16_UMAP_RandomForest,VGG16,UMAP,RandomForest,25088.0,69.1176,76.4706,69.1176,72.0588,75.3362,75.3362,73.5294,70.5882,71.0084,75.0000,76.4706,69.1176,86.8739,73.3620,7.4674,73.5294,67.6471,79.4118,91.4286,44.1176
VGG16_UMAP_Adaboost,VGG16,UMAP,Adaboost,25088.0,63.2353,73.5294,66.1765,70.5882,72.0588,66.1765,72.4790,68.1093,66.1765,70.5882,73.5294,66.1765,83.9580,68.3711,7.7005,70.5882,61.7647,74.2857,85.2941,50.0000
VGG16_UMAP_Gaussian,VGG16,UMAP,Gaussian,25088.0,64.7059,69.5378,67.6471,70.5882,72.0588,75.0000,69.1176,70.5882,67.6471,75.0000,73.5294,73.5294,71.0336,69.7983,6.9878,70.5882,64.7059,74.2857,85.7143,52.9412
VGG16_ReliefF_PCC,VGG16,ReliefF,PCC,25088.0,61.7647,76.4706,77.9412,77.9412,75.0000,75.0000,76.4706,70.5882,67.6471,71.0084,70.5882,67.6471,63.4958,72.2297,8.2779,72.4790,67.6471,76.6387,88.2353,54.2857
VGG16_ReliefF_J48,VGG16,ReliefF,J48,25088.0,69.1176,78.2773,75.3362,76.8067,78.2773,72.4790,76.4706,78.2773,75.3782,78.2773,76.8067,75.0000,73.4538,75.6268,6.7314,76.4706,70.5882,79.4118,91.1765,60.0000
VGG16_ReliefF_RBF,VGG16,ReliefF,RBF,25088.0,63.7815,79.7059,79.4118,79.4118,79.7059,81.1765,82.6471,84.1176,85.2941,88.2353,86.7647,86.9748,85.7143,81.1786,8.9329,82.3529,75.9244,88.2353,97.0588,55.8824
VGG16_ReliefF_LinearSVM,VGG16,ReliefF,LinearSVM,25088.0,60.8824,76.4706,82.3529,76.4706,80.8824,77.9412,79.7059,80.8824,81.1765,79.4118,82.3529,81.1765,90.0672,77.8992,7.6133,79.4118,73.5294,82.3529,94.1176,57.1429
VGG16_ReliefF_MLP,VGG16,ReliefF,MLP,25088.0,66.6807,75.0000,77.9412,77.9412,75.3782,76.4706,76.8487,76.8067,80.8824,80.8824,80.8824,78.5714,88.9075,76.9342,6.6379,77.1429,73.5294,82.3529,91.1765,58.8235
VGG16_ReliefF_Logistic,VGG16,ReliefF,Logistic,25088.0,63.7815,76.8067,79.7059,78.2773,75.3782,76.8067,77.9412,79.4118,80.8824,79.7059,83.8235,82.3529,89.7815,77.9650,7.2950,79.4118,74.2857,82.3529,91.4286,55.8824
VGG16_ReliefF_RandomForest,VGG16,ReliefF,RandomForest,25088.0,67.6471,79.4118,80.8824,82.3529,82.6050,82.6471,84.0756,85.2941,86.7647,86.7647,85.2941,86.7647,86.8739,82.1071,7.5521,82.3529,77.1429,88.2353,97.0588,58.8235
VGG16_ReliefF_Adaboost,VGG16,ReliefF,Adaboost,25088.0,67.6471,79.4118,79.7059,79.4118,77.9412,79.4118,82.3529,80.8824,81.1765,82.6050,84.0756,82.3529,83.9580,78.7773,6.9218,79.4118,74.2857,82.8571,94.1176,58.8235
VGG16_ReliefF_Gaussian,VGG16,ReliefF,Gaussian,25088.0,61.7647,75.3782,80.8824,79.4118,82.3529,78.2773,82.3529,80.8824,78.3193,80.8824,79.4118,75.0000,71.0336,77.2003,9.6736,79.4118,71.4286,82.4789,97.0588,50.0000
VGG19_PCA_PCC,VGG19,PCA,PCC,25088.0,69.1176,82.6050,82.3529,80.8824,79.4118,82.3529,77.9412,75.3782,70.5882,67.6471,55.8824,54.4118,57.9412,73.0959,10.5036,74.2857,67.6471,82.3529,91.1765,45.7143
VGG19_PCA_J48,VGG19,PCA,J48,25088.0,58.8235,73.5294,70.5882,73.5294,71.0084,67.6471,73.5294,72.0589,70.5882,70.5882,67.6471,67.6471,77.7899,69.4601,8.4658,70.5882,64.7059,76.4706,88.2353,34.2857
VGG19_PCA_RBF,VGG19,PCA,RBF,25088.0,72.0588,86.7647,86.9748,88.2353,86.7647,86.7647,85.2941,85.2941,86.7647,85.5462,85.5462,85.5462,84.8319,84.0532,7.0829,85.2941,79.4118,88.2353,94.1176,60.0000
VGG19_PCA_LinearSVM,VGG19,PCA,LinearSVM,25088.0,67.6471,82.5631,85.5042,84.0756,85.2941,83.8235,76.4706,78.2773,80.8824,81.1765,81.1765,86.9748,89.2017,81.0651,7.9602,82.3529,76.4706,86.3445,97.0588,55.8824
VGG19_PCA_MLP,VGG19,PCA,MLP,25088.0,72.0588,82.6050,83.8235,84.0756,85.2941,80.8824,81.1765,78.2773,69.5798,73.5294,61.7647,61.7647,88.6050,75.5504,10.1310,76.4706,68.5714,82.3529,94.1176,50.0000
VGG19_PCA_Logistic,VGG19,PCA,Logistic,25088.0,66.6807,84.0336,86.9748,85.2941,83.8235,84.0756,73.5294,77.9412,85.2941,82.6050,80.8824,86.9748,89.4958,81.6765,8.1170,82.3529,76.4706,88.2353,97.0588,55.8824
VGG19_PCA_RandomForest,VGG19,PCA,RandomForest,25088.0,63.7815,85.2941,85.2941,85.2941,80.8824,82.3529,80.8824,80.8824,79.4118,76.4706,77.9412,75.0000,87.1513,79.1926,9.6525,82.3529,73.5294,85.2941,97.0588,48.5714
VGG19_PCA_Adaboost,VGG19,PCA,Adaboost,25088.0,61.7647,79.4118,82.6050,78.2773,77.9412,82.3529,82.6050,79.4118,78.2773,79.4118,77.9412,73.5294,85.9832,77.3368,8.0349,79.4118,73.5294,82.3529,94.1176,54.2857
VGG19_PCA_Gaussian,VGG19,PCA,Gaussian,25088.0,67.6471,70.5882,66.7227,63.7815,66.6807,64.7059,66.1765,67.6471,66.1765,68.1513,65.2101,65.2521,68.6807,67.5196,8.1359,67.6471,61.7647,73.5294,82.3529,51.4286
VGG19_UMAP_PCC,VGG19,UMAP,PCC,25088.0,69.1176,72.0588,70.5882,75.0000,72.0588,73.5294,75.0000,72.0588,72.0588,76.4706,70.5882,70.5882,57.9412,72.2178,5.9867,71.0084,67.6471,76.4706,85.7143,55.8824
VGG19_UMAP_J48,VGG19,UMAP,J48,25088.0,61.7647,63.2353,67.6471,69.5798,65.7143,68.1513,64.7059,70.5882,63.7815,67.6471,67.6471,66.1765,77.7899,66.2479,7.7225,65.7143,61.7647,70.5882,82.3529,47.0588
VGG19_UMAP_RBF,VGG19,UMAP,RBF,25088.0,57.9412,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,84.8319,49.1975,8.3540,50.0000,42.8571,52.9412,70.5882,34.2857
VGG19_UMAP_LinearSVM,VGG19,UMAP,LinearSVM,25088.0,60.2941,70.5882,70.5882,69.5798,67.6471,65.2521,70.5882,69.1176,69.1176,71.0084,70.5882,69.1176,89.2017,67.1744,7.6100,67.6471,61.7647,73.5294,79.4118,34.2857
VGG19_UMAP_MLP,VGG19,UMAP,MLP,25088.0,52.9412,72.0588,65.2101,62.3950,66.1765,65.2101,68.1093,57.3529,54.4118,48.5294,52.9412,44.9160,88.6050,57.5903,12.8368,57.1429,47.0588,67.8782,79.4118,32.3529
VGG19_UMAP_Logistic,VGG19,UMAP,Logistic,25088.0,56.5126,70.5882,69.1176,70.5882,72.0588,72.0588,69.1176,75.0000,70.5882,69.1176,70.5882,75.0000,89.4958,70.1036,6.9830,70.5882,65.7143,74.8319,82.8571,42.8571
VGG19_UMAP_RandomForest,VGG19,UMAP,RandomForest,25088.0,57.9412,72.0588,72.4790,76.4706,75.0000,77.9412,73.5294,73.5294,75.0000,78.2773,72.0588,73.5294,87.1513,73.3326,7.2269,73.5294,68.3403,79.4118,88.5714,52.9412
VGG19_UMAP_Adaboost,VGG19,UMAP,Adaboost,25088.0,59.4538,72.4790,70.5882,67.6471,66.1765,75.0000,70.5882,70.5882,65.2101,67.6471,69.1176,70.5882,85.9832,68.7612,7.5520,69.5798,64.2437,74.2857,85.2941,50.0000
VGG19_UMAP_Gaussian,VGG19,UMAP,Gaussian,25088.0,66.6807,73.5294,72.0588,73.5294,70.5882,70.5882,73.5294,70.5882,73.5294,70.5882,73.5294,73.5294,68.6807,71.3403,5.5703,70.5882,67.6471,74.2857,82.8571,55.8824
VGG19_ReliefF_PCC,VGG19,ReliefF,PCC,25088.0,69.1176,71.0504,70.5882,77.9412,76.4706,77.9412,79.4118,72.4369,72.4790,68.1513,66.6807,66.1765,57.9412,71.4608,8.0038,70.5882,67.6471,79.4118,88.2353,47.0588
VGG19_ReliefF_J48,VGG19,ReliefF,J48,25088.0,64.7059,69.1176,69.1176,71.0504,70.5882,70.5882,70.5882,73.5294,77.9412,75.0000,79.4118,79.4118,77.7899,71.8137,8.4230,70.5882,65.7143,79.4118,88.2353,50.0000
VGG19_ReliefF_RBF,VGG19,ReliefF,RBF,25088.0,67.6471,70.5882,73.9076,76.4706,82.6050,82.3529,83.8235,85.2941,85.2941,85.2941,86.9748,88.2353,84.8319,80.8922,9.0293,82.3529,76.4706,86.3445,97.0588,48.5714
VGG19_ReliefF_LinearSVM,VGG19,ReliefF,LinearSVM,25088.0,63.2353,67.6471,72.4790,76.4706,81.1765,79.4118,79.4118,82.3529,83.8235,81.1765,85.2941,86.7647,89.2017,78.8060,9.6728,79.4118,73.5294,82.3529,100.0000,48.5714
VGG19_ReliefF_MLP,VGG19,ReliefF,MLP,25088.0,67.6471,73.5294,70.5882,75.3782,76.8067,79.4118,76.8067,79.4118,81.1765,77.9412,75.0000,79.7059,88.6050,75.8074,8.1169,76.4706,70.5882,79.4118,100.0000,54.2857
VGG19_ReliefF_Logistic,VGG19,ReliefF,Logistic,25088.0,64.7059,68.1093,73.5294,76.8067,77.9412,79.4118,79.4118,79.4118,83.8235,84.1176,86.7647,88.2353,89.4958,78.7262,9.6059,79.4118,73.5294,85.2941,100.0000,48.5714
VGG19_ReliefF_RandomForest,VGG19,ReliefF,RandomForest,25088.0,63.2353,69.5798,73.5294,79.4118,81.1765,82.3529,84.2857,82.8571,88.2353,88.5714,85.5042,86.9748,87.1513,80.5399,9.3889,82.3529,76.4706,86.3445,97.0588,51.4286
VGG19_ReliefF_Adaboost,VGG19,ReliefF,Adaboost,25088.0,66.1765,69.5798,73.9076,75.0000,77.9412,78.5714,82.3529,79.4118,80.8824,85.2941,82.3529,85.2941,85.9832,77.4412,8.4054,79.4118,73.5294,82.4789,94.1176,54.2857
VGG19_ReliefF_Gaussian,VGG19,ReliefF,Gaussian,25088.0,58.8235,69.1176,73.5294,76.8067,79.4118,79.4118,80.8824,82.3529,86.7647,85.2941,82.6050,84.0336,68.6807,77.8929,9.2103,79.4118,73.5294,85.2941,91.4286,48.5714
ResNet50_PCA_PCC,ResNet50,PCA,PCC,100352.0,72.4790,85.2941,84.0756,82.8571,83.8235,82.6050,82.3529,82.3529,77.9412,76.8487,72.4790,75.3782,75.7899,79.4986,7.6791,80.0000,74.2857,85.2941,97.0588,58.8235
ResNet50_PCA_J48,ResNet50,PCA,J48,100352.0,59.4117,82.3529,76.4706,77.9412,79.4118,72.0588,75.3782,75.0000,72.4790,79.4118,72.4790,71.0084,77.4874,73.5077,9.2531,73.5294,67.1639,79.5589,94.1176,44.1176
ResNet50_PCA_RBF,ResNet50,PCA,RBF,100352.0,72.0588,91.1765,91.1765,91.3025,89.8740,91.1765,91.1765,92.7731,91.1765,89.8740,88.2353,88.5714,89.7563,88.8795,6.2016,91.1765,88.2353,94.1176,97.0588,67.6471
ResNet50_PCA_LinearSVM,ResNet50,PCA,LinearSVM,100352.0,69.5798,88.2353,85.5042,89.7059,88.2353,83.8235,88.2353,88.2353,91.1765,88.4033,91.1765,91.1765,93.5798,86.6576,7.4937,88.2353,82.8571,91.1765,100.0000,58.8235
ResNet50_PCA_MLP,ResNet50,PCA,MLP,100352.0,71.0084,83.8235,84.0756,86.9748,82.3529,88.2353,83.8235,79.7479,79.4118,69.1176,70.5882,66.6807,91.2101,78.4972,9.9278,79.4118,71.2185,85.2941,97.0588,44.1176
ResNet50_PCA_Logistic,ResNet50,PCA,Logistic,100352.0,69.1176,88.2353,88.2353,88.2353,86.9748,84.0756,88.2353,88.2353,91.1765,88.4033,91.1765,91.1765,93.5798,86.9027,7.4731,88.2353,85.2941,91.1765,100.0000,58.8235
ResNet50_PCA_RandomForest,ResNet50,PCA,RandomForest,100352.0,67.6471,89.8740,89.8740,91.1765,89.8740,86.9748,91.1765,85.2941,85.5042,83.8235,80.8824,76.4706,89.4958,84.1415,7.5850,85.2941,79.4118,91.1765,94.2857,58.8235
ResNet50_PCA_Adaboost,ResNet50,PCA,Adaboost,100352.0,69.5798,86.9748,85.7143,86.9748,88.2353,88.2353,89.7059,86.7647,85.2941,85.2941,86.9748,83.8235,88.6218,85.2325,7.1577,85.7143,82.3529,88.5714,97.1429,52.9412
ResNet50_PCA_Gaussian,ResNet50,PCA,Gaussian,100352.0,70.5882,82.6050,84.0756,78.2773,77.9412,73.9076,69.5378,66.1765,68.1093,69.1176,69.1176,70.5882,70.4538,73.4972,8.5707,73.5294,67.6471,79.4118,91.1765,55.8824
ResNet50_UMAP_PCC,ResNet50,UMAP,PCC,100352.0,76.4706,76.4706,78.2773,79.4118,78.2353,78.2773,78.2773,79.4118,77.1429,77.1429,79.7059,80.8824,75.7899,78.5658,5.3593,78.2773,76.4706,82.3529,91.1765,64.7059
ResNet50_UMAP_J48,ResNet50,UMAP,J48,100352.0,70.5882,77.9412,78.2773,75.0000,76.4706,77.9412,76.7647,75.3362,73.5294,73.9076,80.8824,79.7059,77.4874,76.5329,6.9512,76.4706,70.5882,82.3529,91.1765,55.8824
ResNet50_UMAP_RBF,ResNet50,UMAP,RBF,100352.0,78.2773,69.1176,72.0588,72.0588,72.0588,70.5882,73.5294,70.5882,70.5882,69.1176,72.0588,67.6471,89.7563,70.1982,6.3964,70.5882,67.6471,73.5294,82.3529,42.8571
ResNet50_UMAP_LinearSVM,ResNet50,UMAP,LinearSVM,100352.0,61.7647,73.5294,75.0000,70.5882,76.4706,73.9076,75.3782,75.0000,75.0000,73.9076,75.0000,73.5294,93.5798,73.7094,6.0526,73.5294,70.5882,77.2059,82.3529,52.9412
ResNet50_UMAP_MLP,ResNet50,UMAP,MLP,100352.0,63.2353,79.4118,76.4706,77.9412,73.9076,73.5294,70.5882,70.5882,70.5882,69.6218,52.1849,58.8235,91.2101,69.1646,10.6780,71.0084,64.7059,76.4706,85.2941,34.2857
ResNet50_UMAP_Logistic,ResNet50,UMAP,Logistic,100352.0,63.2353,77.1429,76.8067,76.8067,78.2773,78.2773,78.2773,76.4706,77.1429,76.4706,79.4118,79.4118,93.5798,77.0952,6.6346,77.1429,76.4706,79.5589,88.2353,52.9412
ResNet50_UMAP_RandomForest,ResNet50,UMAP,RandomForest,100352.0,72.0588,82.3529,82.3529,82.3529,82.3529,81.1765,81.1765,82.3529,83.8235,81.1765,84.0756,82.3529,89.4958,81.3354,5.4076,82.3529,79.4118,85.2941,94.1176,58.8235
ResNet50_UMAP_Adaboost,ResNet50,UMAP,Adaboost,100352.0,68.1093,79.4118,81.1765,76.4706,81.1765,77.1429,82.3529,78.2773,79.7479,82.3529,82.3529,79.7059,88.6218,78.2360,7.4716,79.4118,74.0966,82.3529,94.1176,47.0588
ResNet50_UMAP_Gaussian,ResNet50,UMAP,Gaussian,100352.0,62.3109,73.9076,75.0000,76.8067,75.7143,73.5294,76.8067,76.8067,76.8067,73.5294,77.9412,76.4706,70.4538,74.8151,5.6658,76.4706,73.5294,79.4118,85.2941,58.8235
ResNet50_ReliefF_PCC,ResNet50,ReliefF,PCC,100352.0,79.7059,79.7479,83.8235,82.3529,83.8235,82.3529,84.0756,79.4118,79.4118,82.3529,80.8824,80.8824,75.7899,81.4132,6.3331,82.3529,76.9748,85.2941,97.0588,62.8571
ResNet50_ReliefF_J48,ResNet50,ReliefF,J48,100352.0,76.4706,78.3193,80.8824,76.4706,77.9412,77.9412,85.2941,80.8824,80.8824,82.3529,80.8824,83.8235,77.4874,79.8620,7.3494,79.4118,76.4706,85.2941,94.1176,54.2857
ResNet50_ReliefF_RBF,ResNet50,ReliefF,RBF,100352.0,76.8067,85.2941,86.7647,85.5042,85.5042,86.9748,86.7647,88.2353,88.2353,86.7647,88.2353,88.2353,89.7563,85.8837,5.9473,85.5042,82.8571,88.2353,100.0000,60.0000
