Metodo;FeatureExtraction;DimReduction;NumberComponents;Classifier;ACC01;ACC02;ACC03;ACC04;ACC05;ACC06;ACC07;ACC08;ACC09;ACC10
ResNet101+MobileNetV2_n_feat_ReliefF_20_Adaboost;ResNet101+MobileNetV2_n_feat;ReliefF;20;Adaboost;0,7429;0,8286;0,7941;0,8235;0,8529;0,7647;0,9412;0,8529;0,8824;0,8824
ResNet101+MobileNetV2_n_feat_ReliefF_20_Gaussian;ResNet101+MobileNetV2_n_feat;ReliefF;20;Gaussian;0,8286;0,8;0,7647;0,7353;0,8529;0,7941;0,8235;0,8824;0,8235;0,7941
EfficientNetB0+MobileNet_n_feat_ReliefF_20_J48;EfficientNetB0+MobileNet_n_feat;ReliefF;20;J48;0,6;0,7143;0,6765;0,7647;0,7941;0,7059;0,7941;0,6176;0,8824;0,6471
EfficientNetB0+MobileNet_n_feat_ReliefF_20_RBF;EfficientNetB0+MobileNet_n_feat;ReliefF;20;RBF;0,8286;0,8571;0,8529;0,7647;0,7353;0,7941;0,8235;0,7941;0,9118;0,7941
EfficientNetB0+MobileNet_n_feat_ReliefF_20_LinearSVM;EfficientNetB0+MobileNet_n_feat;ReliefF;20;LinearSVM;0,8286;0,8571;0,8235;0,7647;0,7647;0,7941;0,8529;0,7941;0,8824;0,7941
EfficientNetB0+MobileNet_n_feat_ReliefF_20_MLP;EfficientNetB0+MobileNet_n_feat;ReliefF;20;MLP;0,7714;0,8;0,7941;0,7647;0,7647;0,7647;0,7353;0,7353;0,7647;0,7353
EfficientNetB0+MobileNet_n_feat_ReliefF_20_Logistic;EfficientNetB0+MobileNet_n_feat;ReliefF;20;Logistic;0,8286;0,8857;0,7941;0,7941;0,7353;0,8235;0,8235;0,7647;0,8529;0,7647
EfficientNetB0+MobileNet_n_feat_ReliefF_20_RandomForest;EfficientNetB0+MobileNet_n_feat;ReliefF;20;RandomForest;0,8571;0,8286;0,7941;0,7941;0,7647;0,8235;0,7941;0,7647;0,8824;0,8529
EfficientNetB0+MobileNet_n_feat_ReliefF_20_Adaboost;EfficientNetB0+MobileNet_n_feat;ReliefF;20;Adaboost;0,8286;0,8857;0,7059;0,8235;0,7059;0,7647;0,7353;0,8235;0,8529;0,8235
EfficientNetB0+MobileNet_n_feat_ReliefF_20_Gaussian;EfficientNetB0+MobileNet_n_feat;ReliefF;20;Gaussian;0,8286;0,8286;0,7941;0,7353;0,7059;0,8235;0,7059;0,7353;0,9412;0,7353
MobileNet+ResNet50_n_feat_ReliefF_20_J48;MobileNet+ResNet50_n_feat;ReliefF;20;J48;0,7714;0,7714;0,8235;0,7059;0,8529;0,8824;0,7353;0,7941;0,8824;0,7353
MobileNet+ResNet50_n_feat_ReliefF_20_RBF;MobileNet+ResNet50_n_feat;ReliefF;20;RBF;0,8857;0,8857;0,8529;0,8529;0,8529;0,8235;0,8824;0,8824;0,8824;0,7941
MobileNet+ResNet50_n_feat_ReliefF_20_LinearSVM;MobileNet+ResNet50_n_feat;ReliefF;20;LinearSVM;0,8857;0,8571;0,8529;0,8235;0,8235;0,9118;0,9118;0,8529;0,9118;0,8235
MobileNet+ResNet50_n_feat_ReliefF_20_MLP;MobileNet+ResNet50_n_feat;ReliefF;20;MLP;0,8571;0,8857;0,8824;0,7353;0,8235;0,9118;0,7941;0,8824;0,9118;0,8529
MobileNet+ResNet50_n_feat_ReliefF_20_Logistic;MobileNet+ResNet50_n_feat;ReliefF;20;Logistic;0,8571;0,8286;0,8824;0,8235;0,7941;0,9706;0,8824;0,8824;0,8529;0,7647
MobileNet+ResNet50_n_feat_ReliefF_20_RandomForest;MobileNet+ResNet50_n_feat;ReliefF;20;RandomForest;0,8286;0,9143;0,7941;0,8529;0,8824;0,8824;0,8235;0,9118;0,9118;0,8824
MobileNet+ResNet50_n_feat_ReliefF_20_Adaboost;MobileNet+ResNet50_n_feat;ReliefF;20;Adaboost;0,8571;0,8857;0,8235;0,7941;0,8235;0,8529;0,8235;0,8824;0,8529;0,8529
MobileNet+ResNet50_n_feat_ReliefF_20_Gaussian;MobileNet+ResNet50_n_feat;ReliefF;20;Gaussian;0,8286;0,8857;0,8824;0,8529;0,8235;0,8529;0,8824;0,9118;0,9412;0,7647
Xception+ResNet50_n_feat_ReliefF_20_J48;Xception+ResNet50_n_feat;ReliefF;20;J48;0,8;0,8571;0,7059;0,8235;0,9118;0,8235;0,7353;0,9412;0,8529;0,8529
Xception+ResNet50_n_feat_ReliefF_20_RBF;Xception+ResNet50_n_feat;ReliefF;20;RBF;0,8;0,8857;0,8235;0,8529;0,8235;0,9118;0,8529;0,9118;0,7647;0,8235
Xception+ResNet50_n_feat_ReliefF_20_LinearSVM;Xception+ResNet50_n_feat;ReliefF;20;LinearSVM;0,7714;0,8286;0,8529;0,7647;0,8235;0,9412;0,8529;0,9118;0,8235;0,8529
Xception+ResNet50_n_feat_ReliefF_20_MLP;Xception+ResNet50_n_feat;ReliefF;20;MLP;0,8;0,8571;0,7647;0,7941;0,8824;0,8529;0,7941;0,9118;0,8824;0,8529
Xception+ResNet50_n_feat_ReliefF_20_Logistic;Xception+ResNet50_n_feat;ReliefF;20;Logistic;0,8286;0,8571;0,7941;0,8235;0,8824;0,9412;0,8529;0,9412;0,7941;0,8235
Xception+ResNet50_n_feat_ReliefF_20_RandomForest;Xception+ResNet50_n_feat;ReliefF;20;RandomForest;0,8;0,8857;0,8824;0,8529;0,8824;0,9118;0,7941;0,9412;0,8529;0,8235
Xception+ResNet50_n_feat_ReliefF_20_Adaboost;Xception+ResNet50_n_feat;ReliefF;20;Adaboost;0,7429;0,8571;0,7353;0,9118;0,8235;0,8235;0,8529;0,8824;0,7647;0,8235
Xception+ResNet50_n_feat_ReliefF_20_Gaussian;Xception+ResNet50_n_feat;ReliefF;20;Gaussian;0,7429;0,8286;0,8529;0,8235;0,7647;0,9412;0,8824;0,8824;0,7353;0,8235
VGG16+VGG19_n_feat_ReliefF_20_J48;VGG16+VGG19_n_feat;ReliefF;20;J48;0,7143;0,6286;0,6765;0,7647;0,6765;0,8235;0,7059;0,7941;0,7941;0,7353
VGG16+VGG19_n_feat_ReliefF_20_RBF;VGG16+VGG19_n_feat;ReliefF;20;RBF;0,7714;0,7714;0,7647;0,7941;0,7647;0,8824;0,7059;0,9118;0,8529;0,7941
VGG16+VGG19_n_feat_ReliefF_20_LinearSVM;VGG16+VGG19_n_feat;ReliefF;20;LinearSVM;0,7714;0,7714;0,7647;0,7353;0,7059;0,7941;0,7059;0,8529;0,8235;0,7647
VGG16+VGG19_n_feat_ReliefF_20_MLP;VGG16+VGG19_n_feat;ReliefF;20;MLP;0,7429;0,7714;0,7353;0,7059;0,6765;0,8529;0,7647;0,8235;0,8529;0,7941
VGG16+VGG19_n_feat_ReliefF_20_Logistic;VGG16+VGG19_n_feat;ReliefF;20;Logistic;0,7714;0,8;0,7353;0,7941;0,7059;0,7647;0,7059;0,8235;0,7353;0,7647
VGG16+VGG19_n_feat_ReliefF_20_RandomForest;VGG16+VGG19_n_feat;ReliefF;20;RandomForest;0,7143;0,8;0,6765;0,7353;0,7059;0,7941;0,7647;0,8824;0,8235;0,7941
VGG16+VGG19_n_feat_ReliefF_20_Adaboost;VGG16+VGG19_n_feat;ReliefF;20;Adaboost;0,6857;0,6857;0,7647;0,7647;0,6765;0,7941;0,7647;0,7353;0,8235;0,8235
VGG16+VGG19_n_feat_ReliefF_20_Gaussian;VGG16+VGG19_n_feat;ReliefF;20;Gaussian;0,6857;0,8;0,7941;0,7647;0,7647;0,8235;0,7353;0,8235;0,8235;0,7647
MobileNet+ResNet101_n_feat_ReliefF_10_J48;MobileNet+ResNet101_n_feat;ReliefF;10;J48;0,6571;0,7714;0,7647;0,7941;0,7353;0,8235;0,7941;0,7647;0,8824;0,8235
MobileNet+ResNet101_n_feat_ReliefF_10_RBF;MobileNet+ResNet101_n_feat;ReliefF;10;RBF;0,7714;0,8857;0,7353;0,9118;0,7941;0,8824;0,8529;0,8824;0,8529;0,8235
MobileNet+ResNet101_n_feat_ReliefF_10_LinearSVM;MobileNet+ResNet101_n_feat;ReliefF;10;LinearSVM;0,7429;0,8;0,7647;0,8529;0,8235;0,8529;0,8529;0,8529;0,8529;0,8824
MobileNet+ResNet101_n_feat_ReliefF_10_MLP;MobileNet+ResNet101_n_feat;ReliefF;10;MLP;0,7143;0,7714;0,7941;0,8824;0,7353;0,8235;0,8235;0,8235;0,7941;0,8529
MobileNet+ResNet101_n_feat_ReliefF_10_Logistic;MobileNet+ResNet101_n_feat;ReliefF;10;Logistic;0,7143;0,8286;0,7647;0,8529;0,7941;0,8235;0,7941;0,8529;0,8529;0,8529
MobileNet+ResNet101_n_feat_ReliefF_10_RandomForest;MobileNet+ResNet101_n_feat;ReliefF;10;RandomForest;0,7714;0,8;0,7941;0,8529;0,7647;0,8235;0,9118;0,8529;0,8529;0,8529
MobileNet+ResNet101_n_feat_ReliefF_10_Adaboost;MobileNet+ResNet101_n_feat;ReliefF;10;Adaboost;0,7143;0,7429;0,7941;0,8824;0,6765;0,8824;0,8824;0,8824;0,8824;0,8235
MobileNet+ResNet101_n_feat_ReliefF_10_Gaussian;MobileNet+ResNet101_n_feat;ReliefF;10;Gaussian;0,7714;0,8286;0,7353;0,7941;0,8235;0,7647;0,7941;0,7647;0,8529;0,8235
ResNet101+DenseNet169_n_feat_ReliefF_10_J48;ResNet101+DenseNet169_n_feat;ReliefF;10;J48;0,7143;0,7714;0,7353;0,7647;0,8235;0,8235;0,9118;0,7647;0,8824;0,7941
ResNet101+DenseNet169_n_feat_ReliefF_10_RBF;ResNet101+DenseNet169_n_feat;ReliefF;10;RBF;0,7429;0,7143;0,7647;0,7941;0,7353;0,8235;0,8235;0,8235;0,7941;0,7941
ResNet101+DenseNet169_n_feat_ReliefF_10_LinearSVM;ResNet101+DenseNet169_n_feat;ReliefF;10;LinearSVM;0,7143;0,6571;0,7059;0,7941;0,7647;0,8235;0,7941;0,8529;0,7941;0,7941
ResNet101+DenseNet169_n_feat_ReliefF_10_MLP;ResNet101+DenseNet169_n_feat;ReliefF;10;MLP;0,7429;0,7714;0,7059;0,8529;0,7647;0,7353;0,8824;0,8235;0,8235;0,8235
ResNet101+DenseNet169_n_feat_ReliefF_10_Logistic;ResNet101+DenseNet169_n_feat;ReliefF;10;Logistic;0,6857;0,6857;0,7647;0,7647;0,7353;0,7941;0,7941;0,8529;0,7941;0,8235
ResNet101+DenseNet169_n_feat_ReliefF_10_RandomForest;ResNet101+DenseNet169_n_feat;ReliefF;10;RandomForest;0,7429;0,7429;0,7941;0,8529;0,8235;0,8529;0,9118;0,9118;0,9118;0,9118
ResNet101+DenseNet169_n_feat_ReliefF_10_Adaboost;ResNet101+DenseNet169_n_feat;ReliefF;10;Adaboost;0,8286;0,7429;0,8529;0,8824;0,7353;0,8235;0,8824;0,9118;0,9118;0,8824
ResNet101+DenseNet169_n_feat_ReliefF_10_Gaussian;ResNet101+DenseNet169_n_feat;ReliefF;10;Gaussian;0,6571;0,7714;0,7647;0,7647;0,8235;0,8235;0,7941;0,9118;0,9118;0,8235
ResNet101+DenseNet121_n_feat_ReliefF_10_J48;ResNet101+DenseNet121_n_feat;ReliefF;10;J48;0,7143;0,5143;0,6765;0,7353;0,7059;0,7941;0,7059;0,8235;0,7941;0,7941
ResNet101+DenseNet121_n_feat_ReliefF_10_RBF;ResNet101+DenseNet121_n_feat;ReliefF;10;RBF;0,7429;0,7143;0,7647;0,7941;0,7353;0,8235;0,8235;0,8235;0,7941;0,8235
ResNet101+DenseNet121_n_feat_ReliefF_10_LinearSVM;ResNet101+DenseNet121_n_feat;ReliefF;10;LinearSVM;0,7143;0,6571;0,7647;0,7941;0,7647;0,8529;0,7941;0,8529;0,7941;0,8235
ResNet101+DenseNet121_n_feat_ReliefF_10_MLP;ResNet101+DenseNet121_n_feat;ReliefF;10;MLP;0,7714;0,6857;0,7059;0,8529;0,7647;0,8235;0,8824;0,8235;0,8235;0,7941
ResNet101+DenseNet121_n_feat_ReliefF_10_Logistic;ResNet101+DenseNet121_n_feat;ReliefF;10;Logistic;0,6857;0,7429;0,7059;0,7941;0,7353;0,8529;0,7941;0,8529;0,7941;0,7941
ResNet101+DenseNet121_n_feat_ReliefF_10_RandomForest;ResNet101+DenseNet121_n_feat;ReliefF;10;RandomForest;0,7429;0,7143;0,7353;0,7941;0,7647;0,8235;0,8824;0,7941;0,7941;0,7647
ResNet101+DenseNet121_n_feat_ReliefF_10_Adaboost;ResNet101+DenseNet121_n_feat;ReliefF;10;Adaboost;0,7143;0,6857;0,7647;0,7647;0,7647;0,9118;0,8235;0,8235;0,7353;0,8529
ResNet101+DenseNet121_n_feat_ReliefF_10_Gaussian;ResNet101+DenseNet121_n_feat;ReliefF;10;Gaussian;0,6571;0,7714;0,7353;0,7647;0,8529;0,8529;0,8529;0,8235;0,7647;0,7647
ResNet101+MobileNetV2_n_feat_ReliefF_10_J48;ResNet101+MobileNetV2_n_feat;ReliefF;10;J48;0,6571;0,6857;0,7647;0,7647;0,7353;0,7353;0,7647;0,7941;0,8529;0,8529
ResNet101+MobileNetV2_n_feat_ReliefF_10_RBF;ResNet101+MobileNetV2_n_feat;ReliefF;10;RBF;0,8286;0,8;0,8529;0,8235;0,7941;0,8235;0,8235;0,8235;0,8235;0,7941
ResNet101+MobileNetV2_n_feat_ReliefF_10_LinearSVM;ResNet101+MobileNetV2_n_feat;ReliefF;10;LinearSVM;0,8286;0,8;0,8235;0,7941;0,8824;0,8235;0,8529;0,8235;0,8235;0,8529
ResNet101+MobileNetV2_n_feat_ReliefF_10_MLP;ResNet101+MobileNetV2_n_feat;ReliefF;10;MLP;0,7714;0,7429;0,7059;0,8235;0,7353;0,7353;0,9412;0,7647;0,8235;0,8824
ResNet101+MobileNetV2_n_feat_ReliefF_10_Logistic;ResNet101+MobileNetV2_n_feat;ReliefF;10;Logistic;0,7714;0,8;0,8235;0,7941;0,8529;0,8235;0,8235;0,8235;0,8235;0,8235
ResNet101+MobileNetV2_n_feat_ReliefF_10_RandomForest;ResNet101+MobileNetV2_n_feat;ReliefF;10;RandomForest;0,7714;0,8286;0,8235;0,8235;0,8529;0,7647;0,8824;0,8235;0,7941;0,8235
ResNet101+MobileNetV2_n_feat_ReliefF_10_Adaboost;ResNet101+MobileNetV2_n_feat;ReliefF;10;Adaboost;0,7429;0,8;0,8529;0,7647;0,8235;0,7647;0,8235;0,7941;0,7941;0,8529
ResNet101+MobileNetV2_n_feat_ReliefF_10_Gaussian;ResNet101+MobileNetV2_n_feat;ReliefF;10;Gaussian;0,8;0,8286;0,8529;0,7647;0,7941;0,7647;0,7941;0,8235;0,7941;0,7941
EfficientNetB0+MobileNet_n_feat_ReliefF_10_J48;EfficientNetB0+MobileNet_n_feat;ReliefF;10;J48;0,6857;0,6571;0,6471;0,6471;0,6176;0,7353;0,6765;0,7353;0,8235;0,7353
EfficientNetB0+MobileNet_n_feat_ReliefF_10_RBF;EfficientNetB0+MobileNet_n_feat;ReliefF;10;RBF;0,7714;0,8286;0,7941;0,7647;0,7647;0,7647;0,7353;0,7647;0,8824;0,8824
EfficientNetB0+MobileNet_n_feat_ReliefF_10_LinearSVM;EfficientNetB0+MobileNet_n_feat;ReliefF;10;LinearSVM;0,6857;0,8286;0,7941;0,7941;0,7647;0,7941;0,7059;0,7353;0,8529;0,7941
EfficientNetB0+MobileNet_n_feat_ReliefF_10_MLP;EfficientNetB0+MobileNet_n_feat;ReliefF;10;MLP;0,8286;0,7429;0,7059;0,8235;0,7059;0,7353;0,7059;0,7647;0,8824;0,9118
EfficientNetB0+MobileNet_n_feat_ReliefF_10_Logistic;EfficientNetB0+MobileNet_n_feat;ReliefF;10;Logistic;0,7429;0,8;0,7647;0,7941;0,7353;0,7941;0,7353;0,7353;0,9412;0,8235
EfficientNetB0+MobileNet_n_feat_ReliefF_10_RandomForest;EfficientNetB0+MobileNet_n_feat;ReliefF;10;RandomForest;0,7714;0,8;0,7353;0,8235;0,7941;0,7647;0,7353;0,7941;0,8824;0,9118
EfficientNetB0+MobileNet_n_feat_ReliefF_10_Adaboost;EfficientNetB0+MobileNet_n_feat;ReliefF;10;Adaboost;0,7143;0,8286;0,6176;0,6765;0,5882;0,8824;0,7353;0,7059;0,8824;0,8235
EfficientNetB0+MobileNet_n_feat_ReliefF_10_Gaussian;EfficientNetB0+MobileNet_n_feat;ReliefF;10;Gaussian;0,7714;0,8286;0,7941;0,7941;0,7059;0,8235;0,6765;0,7059;0,8824;0,7647
MobileNet+ResNet50_n_feat_ReliefF_10_J48;MobileNet+ResNet50_n_feat;ReliefF;10;J48;0,7143;0,8571;0,7647;0,7647;0,8529;0,7353;0,7059;0,8235;0,8235;0,8529
MobileNet+ResNet50_n_feat_ReliefF_10_RBF;MobileNet+ResNet50_n_feat;ReliefF;10;RBF;0,8571;0,8857;0,9118;0,8529;0,8235;0,8824;0,8235;0,8529;0,8529;0,8529
MobileNet+ResNet50_n_feat_ReliefF_10_LinearSVM;MobileNet+ResNet50_n_feat;ReliefF;10;LinearSVM;0,8286;0,8571;0,8235;0,8529;0,8235;0,8529;0,8529;0,8529;0,9118;0,8824
MobileNet+ResNet50_n_feat_ReliefF_10_MLP;MobileNet+ResNet50_n_feat;ReliefF;10;MLP;0,7714;0,8571;0,8824;0,8235;0,8529;0,7941;0,8529;0,8824;0,9118;0,7941
MobileNet+ResNet50_n_feat_ReliefF_10_Logistic;MobileNet+ResNet50_n_feat;ReliefF;10;Logistic;0,8286;0,8571;0,8529;0,8235;0,8235;0,8529;0,8824;0,8235;0,8235;0,8824
MobileNet+ResNet50_n_feat_ReliefF_10_RandomForest;MobileNet+ResNet50_n_feat;ReliefF;10;RandomForest;0,8;0,8571;0,7941;0,7941;0,8824;0,7353;0,7647;0,8529;0,8824;0,7941
MobileNet+ResNet50_n_feat_ReliefF_10_Adaboost;MobileNet+ResNet50_n_feat;ReliefF;10;Adaboost;0,8286;0,8857;0,8529;0,8235;0,8824;0,7647;0,9118;0,8529;0,8235;0,7353
MobileNet+ResNet50_n_feat_ReliefF_10_Gaussian;MobileNet+ResNet50_n_feat;ReliefF;10;Gaussian;0,8571;0,8857;0,7353;0,8529;0,8824;0,8235;0,8824;0,7941;0,8235;0,8529
Xception+ResNet50_n_feat_ReliefF_10_J48;Xception+ResNet50_n_feat;ReliefF;10;J48;0,6857;0,7714;0,7647;0,7059;0,7941;0,8529;0,6765;0,9118;0,7353;0,7647
Xception+ResNet50_n_feat_ReliefF_10_RBF;Xception+ResNet50_n_feat;ReliefF;10;RBF;0,7714;0,8571;0,8529;0,7647;0,7059;0,7941;0,8529;0,9412;0,7647;0,8235
Xception+ResNet50_n_feat_ReliefF_10_LinearSVM;Xception+ResNet50_n_feat;ReliefF;10;LinearSVM;0,8;0,8571;0,8235;0,8235;0,7647;0,8235;0,8235;0,9412;0,7941;0,8824
Xception+ResNet50_n_feat_ReliefF_10_MLP;Xception+ResNet50_n_feat;ReliefF;10;MLP;0,8;0,8571;0,9118;0,8235;0,8529;0,8529;0,8529;0,8529;0,8235;0,8529
Xception+ResNet50_n_feat_ReliefF_10_Logistic;Xception+ResNet50_n_feat;ReliefF;10;Logistic;0,7429;0,8;0,8529;0,7647;0,8235;0,8824;0,8824;0,8824;0,7647;0,8824
Xception+ResNet50_n_feat_ReliefF_10_RandomForest;Xception+ResNet50_n_feat;ReliefF;10;RandomForest;0,7714;0,8571;0,8235;0,8529;0,8824;0,8824;0,8235;0,8529;0,8824;0,8235
Xception+ResNet50_n_feat_ReliefF_10_Adaboost;Xception+ResNet50_n_feat;ReliefF;10;Adaboost;0,8286;0,8286;0,8235;0,7941;0,7941;0,7647;0,8824;0,8529;0,7941;0,8235
Xception+ResNet50_n_feat_ReliefF_10_Gaussian;Xception+ResNet50_n_feat;ReliefF;10;Gaussian;0,7143;0,7714;0,8529;0,8235;0,7647;0,8824;0,8824;0,8235;0,7059;0,8529
VGG16+VGG19_n_feat_ReliefF_10_J48;VGG16+VGG19_n_feat;ReliefF;10;J48;0,7143;0,8;0,6471;0,6471;0,6471;0,7353;0,7647;0,6765;0,6471;0,6471
VGG16+VGG19_n_feat_ReliefF_10_RBF;VGG16+VGG19_n_feat;ReliefF;10;RBF;0,6571;0,7714;0,7059;0,7353;0,7059;0,7353;0,8235;0,7059;0,9118;0,7353
VGG16+VGG19_n_feat_ReliefF_10_LinearSVM;VGG16+VGG19_n_feat;ReliefF;10;LinearSVM;0,6857;0,7714;0,6471;0,7059;0,7059;0,7647;0,7353;0,6471;0,8529;0,7353
VGG16+VGG19_n_feat_ReliefF_10_MLP;VGG16+VGG19_n_feat;ReliefF;10;MLP;0,6857;0,8;0,6765;0,6471;0,7353;0,7941;0,6765;0,6471;0,7941;0,7059
VGG16+VGG19_n_feat_ReliefF_10_Logistic;VGG16+VGG19_n_feat;ReliefF;10;Logistic;0,6857;0,7429;0,6176;0,6765;0,7059;0,7647;0,7353;0,5882;0,8235;0,7353
VGG16+VGG19_n_feat_ReliefF_10_RandomForest;VGG16+VGG19_n_feat;ReliefF;10;RandomForest;0,7143;0,7714;0,7059;0,7353;0,7353;0,7353;0,7353;0,7647;0,7353;0,7353
VGG16+VGG19_n_feat_ReliefF_10_Adaboost;VGG16+VGG19_n_feat;ReliefF;10;Adaboost;0,6857;0,7429;0,7353;0,7647;0,6765;0,7647;0,7941;0,6471;0,6765;0,7353
VGG16+VGG19_n_feat_ReliefF_10_Gaussian;VGG16+VGG19_n_feat;ReliefF;10;Gaussian;0,6571;0,7143;0,7059;0,7059;0,7353;0,7647;0,7647;0,7647;0,8824;0,6471
MobileNet+ResNet101_n_feat_ReliefF_2_J48;MobileNet+ResNet101_n_feat;ReliefF;2;J48;0,7429;0,6857;0,7941;0,7647;0,7353;0,8529;0,8235;0,6471;0,8529;0,8824
MobileNet+ResNet101_n_feat_ReliefF_2_RBF;MobileNet+ResNet101_n_feat;ReliefF;2;RBF;0,8;0,7429;0,7353;0,7941;0,7647;0,8824;0,7941;0,7059;0,8529;0,8824
MobileNet+ResNet101_n_feat_ReliefF_2_LinearSVM;MobileNet+ResNet101_n_feat;ReliefF;2;LinearSVM;0,8;0,7429;0,7059;0,7647;0,7647;0,8235;0,7647;0,6765;0,8235;0,8824
MobileNet+ResNet101_n_feat_ReliefF_2_MLP;MobileNet+ResNet101_n_feat;ReliefF;2;MLP;0,8;0,7429;0,7647;0,8235;0,7353;0,8824;0,8235;0,7647;0,8235;0,8529
MobileNet+ResNet101_n_feat_ReliefF_2_Logistic;MobileNet+ResNet101_n_feat;ReliefF;2;Logistic;0,8;0,7429;0,7059;0,7941;0,7647;0,8235;0,8235;0,6471;0,8529;0,8824
MobileNet+ResNet101_n_feat_ReliefF_2_RandomForest;MobileNet+ResNet101_n_feat;ReliefF;2;RandomForest;0,7714;0,7714;0,7941;0,7647;0,7647;0,8529;0,8235;0,6471;0,8529;0,8824
MobileNet+ResNet101_n_feat_ReliefF_2_Adaboost;MobileNet+ResNet101_n_feat;ReliefF;2;Adaboost;0,8;0,7429;0,7941;0,7941;0,7353;0,8529;0,8235;0,7059;0,8529;0,8529
MobileNet+ResNet101_n_feat_ReliefF_2_Gaussian;MobileNet+ResNet101_n_feat;ReliefF;2;Gaussian;0,7714;0,7714;0,7059;0,7941;0,7353;0,8235;0,7647;0,6471;0,8235;0,8235
ResNet101+DenseNet169_n_feat_ReliefF_2_J48;ResNet101+DenseNet169_n_feat;ReliefF;2;J48;0,7429;0,6;0,7647;0,7353;0,7647;0,8824;0,7941;0,7941;0,7647;0,8235
ResNet101+DenseNet169_n_feat_ReliefF_2_RBF;ResNet101+DenseNet169_n_feat;ReliefF;2;RBF;0,6857;0,6571;0,7353;0,7353;0,7647;0,8529;0,7647;0,7647;0,7941;0,8529
ResNet101+DenseNet169_n_feat_ReliefF_2_LinearSVM;ResNet101+DenseNet169_n_feat;ReliefF;2;LinearSVM;0,6857;0,6571;0,7059;0,7353;0,7059;0,8235;0,7647;0,6765;0,7941;0,8824
ResNet101+DenseNet169_n_feat_ReliefF_2_MLP;ResNet101+DenseNet169_n_feat;ReliefF;2;MLP;0,6857;0,6571;0,7353;0,7941;0,7353;0,8824;0,7941;0,7647;0,7647;0,8235
ResNet101+DenseNet169_n_feat_ReliefF_2_Logistic;ResNet101+DenseNet169_n_feat;ReliefF;2;Logistic;0,6857;0,6571;0,7353;0,7353;0,7353;0,8529;0,7647;0,7059;0,7941;0,8529
ResNet101+DenseNet169_n_feat_ReliefF_2_RandomForest;ResNet101+DenseNet169_n_feat;ReliefF;2;RandomForest;0,7143;0,6286;0,7647;0,7353;0,7647;0,8824;0,8235;0,8235;0,7647;0,8824
ResNet101+DenseNet169_n_feat_ReliefF_2_Adaboost;ResNet101+DenseNet169_n_feat;ReliefF;2;Adaboost;0,7429;0,6286;0,7353;0,8235;0,7353;0,8824;0,7941;0,7941;0,7647;0,8235
ResNet101+DenseNet169_n_feat_ReliefF_2_Gaussian;ResNet101+DenseNet169_n_feat;ReliefF;2;Gaussian;0,7714;0,6286;0,7647;0,7059;0,8824;0,8529;0,7647;0,7353;0,7941;0,7941
ResNet101+DenseNet121_n_feat_ReliefF_2_J48;ResNet101+DenseNet121_n_feat;ReliefF;2;J48;0,5429;0,5714;0,8235;0,7353;0,7353;0,8235;0,7941;0,7941;0,7647;0,9118
ResNet101+DenseNet121_n_feat_ReliefF_2_RBF;ResNet101+DenseNet121_n_feat;ReliefF;2;RBF;0,6857;0,6571;0,7353;0,7353;0,7647;0,8529;0,7647;0,7647;0,7941;0,8824
ResNet101+DenseNet121_n_feat_ReliefF_2_LinearSVM;ResNet101+DenseNet121_n_feat;ReliefF;2;LinearSVM;0,6857;0,6571;0,7059;0,7353;0,7059;0,8235;0,7647;0,6765;0,7941;0,8529
ResNet101+DenseNet121_n_feat_ReliefF_2_MLP;ResNet101+DenseNet121_n_feat;ReliefF;2;MLP;0,6857;0,6571;0,7353;0,7941;0,7353;0,8824;0,7941;0,7647;0,7647;0,8529
ResNet101+DenseNet121_n_feat_ReliefF_2_Logistic;ResNet101+DenseNet121_n_feat;ReliefF;2;Logistic;0,6857;0,6571;0,7353;0,7353;0,7353;0,8529;0,7647;0,7059;0,7941;0,8529
ResNet101+DenseNet121_n_feat_ReliefF_2_RandomForest;ResNet101+DenseNet121_n_feat;ReliefF;2;RandomForest;0,5714;0,5714;0,8235;0,7353;0,7941;0,8529;0,8235;0,7941;0,7647;0,9118
ResNet101+DenseNet121_n_feat_ReliefF_2_Adaboost;ResNet101+DenseNet121_n_feat;ReliefF;2;Adaboost;0,6571;0,6;0,7941;0,7941;0,6765;0,8529;0,8824;0,7941;0,7353;0,8824
ResNet101+DenseNet121_n_feat_ReliefF_2_Gaussian;ResNet101+DenseNet121_n_feat;ReliefF;2;Gaussian;0,6857;0,7143;0,6471;0,7353;0,7647;0,8529;0,7941;0,7059;0,7353;0,7941
ResNet101+MobileNetV2_n_feat_ReliefF_2_J48;ResNet101+MobileNetV2_n_feat;ReliefF;2;J48;0,6;0,6286;0,7059;0,8235;0,7059;0,7353;0,7647;0,8235;0,7059;0,9118
ResNet101+MobileNetV2_n_feat_ReliefF_2_RBF;ResNet101+MobileNetV2_n_feat;ReliefF;2;RBF;0,7143;0,6857;0,7353;0,8235;0,7941;0,7647;0,8235;0,7647;0,8235;0,9118
ResNet101+MobileNetV2_n_feat_ReliefF_2_LinearSVM;ResNet101+MobileNetV2_n_feat;ReliefF;2;LinearSVM;0,7143;0,6286;0,7059;0,8235;0,7353;0,7353;0,7941;0,8235;0,8235;0,8824
