Metodo;FeatureExtraction;DimReduction;NumberComponents;Classifier;ACC01;ACC02;ACC03;ACC04;ACC05;ACC06;ACC07;ACC08;ACC09;ACC10
EfficientNetB0+MobileNet_n_feat_ReliefF_300_Adaboost;EfficientNetB0+MobileNet_n_feat;ReliefF;300;Adaboost;0,7714;0,9143;0,8529;0,8824;0,7647;0,8529;0,8529;0,9118;0,9118;0,9118
EfficientNetB0+MobileNet_n_feat_ReliefF_300_Gaussian;EfficientNetB0+MobileNet_n_feat;ReliefF;300;Gaussian;0,7429;0,8857;0,9118;0,7941;0,7941;0,7941;0,8824;0,9412;0,8824;0,9118
MobileNet+ResNet50_n_feat_ReliefF_300_J48;MobileNet+ResNet50_n_feat;ReliefF;300;J48;0,8571;0,7429;0,8235;0,8824;0,6471;0,7647;0,8529;0,7941;0,8529;0,7647
MobileNet+ResNet50_n_feat_ReliefF_300_RBF;MobileNet+ResNet50_n_feat;ReliefF;300;RBF;0,8286;0,9429;0,8824;0,8824;0,8529;0,9412;0,8824;1;0,9412;1
MobileNet+ResNet50_n_feat_ReliefF_300_LinearSVM;MobileNet+ResNet50_n_feat;ReliefF;300;LinearSVM;0,9429;0,9429;0,8529;0,9118;0,8235;1;0,8235;0,9706;0,9412;0,9118
MobileNet+ResNet50_n_feat_ReliefF_300_MLP;MobileNet+ResNet50_n_feat;ReliefF;300;MLP;0,8857;0,8857;0,9412;0,7647;0,7941;0,9118;0,8235;0,9412;0,9412;0,9118
MobileNet+ResNet50_n_feat_ReliefF_300_Logistic;MobileNet+ResNet50_n_feat;ReliefF;300;Logistic;0,9143;0,9429;0,8824;0,9118;0,7941;1;0,8529;0,9706;0,9412;0,9412
MobileNet+ResNet50_n_feat_ReliefF_300_RandomForest;MobileNet+ResNet50_n_feat;ReliefF;300;RandomForest;0,8857;0,9143;0,8529;0,9118;0,8529;0,8824;0,9118;0,9412;0,9706;1
MobileNet+ResNet50_n_feat_ReliefF_300_Adaboost;MobileNet+ResNet50_n_feat;ReliefF;300;Adaboost;0,9143;0,9143;0,8824;0,8824;0,8235;0,9412;0,8529;0,9412;0,9412;0,8824
MobileNet+ResNet50_n_feat_ReliefF_300_Gaussian;MobileNet+ResNet50_n_feat;ReliefF;300;Gaussian;0,8857;0,8857;0,9412;0,8529;0,8235;0,8529;0,8235;0,8824;0,9118;0,8824
Xception+ResNet50_n_feat_ReliefF_300_J48;Xception+ResNet50_n_feat;ReliefF;300;J48;0,8857;0,8286;0,7941;0,7941;0,7647;0,7059;0,8235;0,9118;0,8235;0,8235
Xception+ResNet50_n_feat_ReliefF_300_RBF;Xception+ResNet50_n_feat;ReliefF;300;RBF;0,8571;0,8571;0,8824;0,8529;0,8824;0,8824;0,8529;0,9706;0,8824;0,9118
Xception+ResNet50_n_feat_ReliefF_300_LinearSVM;Xception+ResNet50_n_feat;ReliefF;300;LinearSVM;0,8571;0,8857;0,9118;0,8235;0,9412;0,8824;0,9118;0,9706;0,8824;0,9412
Xception+ResNet50_n_feat_ReliefF_300_MLP;Xception+ResNet50_n_feat;ReliefF;300;MLP;0,8571;0,8571;0,9118;0,7647;0,7647;0,8824;0,8235;0,9412;0,8235;0,9118
Xception+ResNet50_n_feat_ReliefF_300_Logistic;Xception+ResNet50_n_feat;ReliefF;300;Logistic;0,9143;0,8571;0,9118;0,7647;0,9118;0,8529;0,8529;0,9412;0,8824;0,9118
Xception+ResNet50_n_feat_ReliefF_300_RandomForest;Xception+ResNet50_n_feat;ReliefF;300;RandomForest;0,9143;0,9143;0,8529;0,8529;0,9412;0,9412;0,8824;0,9412;0,9118;0,9118
Xception+ResNet50_n_feat_ReliefF_300_Adaboost;Xception+ResNet50_n_feat;ReliefF;300;Adaboost;0,9429;0,8571;0,8529;0,8235;0,9412;0,9118;0,8824;0,9412;0,9412;0,8824
Xception+ResNet50_n_feat_ReliefF_300_Gaussian;Xception+ResNet50_n_feat;ReliefF;300;Gaussian;0,8857;0,8571;0,8824;0,7647;0,7941;0,8824;0,7647;0,8824;0,8529;0,8235
VGG16+VGG19_n_feat_ReliefF_300_J48;VGG16+VGG19_n_feat;ReliefF;300;J48;0,7714;0,7143;0,7059;0,7941;0,7059;0,6471;0,7059;0,7059;0,8529;0,7059
VGG16+VGG19_n_feat_ReliefF_300_RBF;VGG16+VGG19_n_feat;ReliefF;300;RBF;0,8;0,9143;0,8529;0,7941;0,8529;0,9118;0,9412;0,9412;0,9412;0,8824
VGG16+VGG19_n_feat_ReliefF_300_LinearSVM;VGG16+VGG19_n_feat;ReliefF;300;LinearSVM;0,7429;0,7714;0,7941;0,8235;0,8529;0,8529;0,8235;0,9412;0,9412;0,9412
VGG16+VGG19_n_feat_ReliefF_300_MLP;VGG16+VGG19_n_feat;ReliefF;300;MLP;0,7429;0,8;0,7353;0,6765;0,6765;0,8235;0,7941;0,8235;0,8529;0,8529
VGG16+VGG19_n_feat_ReliefF_300_Logistic;VGG16+VGG19_n_feat;ReliefF;300;Logistic;0,7714;0,8286;0,8235;0,8529;0,8529;0,8529;0,8235;0,9412;0,9412;0,9412
VGG16+VGG19_n_feat_ReliefF_300_RandomForest;VGG16+VGG19_n_feat;ReliefF;300;RandomForest;0,8286;0,8857;0,7941;0,7941;0,7647;0,8529;0,8529;0,9118;0,9706;0,8824
VGG16+VGG19_n_feat_ReliefF_300_Adaboost;VGG16+VGG19_n_feat;ReliefF;300;Adaboost;0,8;0,6857;0,8824;0,7941;0,7941;0,8235;0,7647;0,7941;0,9118;0,8235
VGG16+VGG19_n_feat_ReliefF_300_Gaussian;VGG16+VGG19_n_feat;ReliefF;300;Gaussian;0,7429;0,8286;0,8529;0,5588;0,7647;0,9118;0,8235;0,8235;0,9412;0,8235
MobileNet+ResNet101_n_feat_ReliefF_250_J48;MobileNet+ResNet101_n_feat;ReliefF;250;J48;0,7429;0,6571;0,7353;0,7647;0,8235;0,6765;0,7941;0,8529;0,8529;0,8529
