metodo;ExtractionMethod;Reduction;Classification;Fold;Features;Normalization;Components;ACC
MobileNet+ResNet101_n_feat_ReliefF_300_Adaboost;MobileNet+ResNet101_n_feat;ReliefF;Adaboost;9;150528;No;300;0,852941
MobileNet+ResNet101_n_feat_ReliefF_300_Gaussian;MobileNet+ResNet101_n_feat;ReliefF;Gaussian;9;150528;No;300;0,735294
MobileNet+ResNet101_n_feat_ReliefF_300_J48;MobileNet+ResNet101_n_feat;ReliefF;J48;10;150528;No;300;0,735294
MobileNet+ResNet101_n_feat_ReliefF_300_RBF;MobileNet+ResNet101_n_feat;ReliefF;RBF;10;150528;No;300;0,941176
MobileNet+ResNet101_n_feat_ReliefF_300_LinearSVM;MobileNet+ResNet101_n_feat;ReliefF;LinearSVM;10;150528;No;300;0,794118
MobileNet+ResNet101_n_feat_ReliefF_300_MLP;MobileNet+ResNet101_n_feat;ReliefF;MLP;10;150528;No;300;0,941176
MobileNet+ResNet101_n_feat_ReliefF_300_Logistic;MobileNet+ResNet101_n_feat;ReliefF;Logistic;10;150528;No;300;0,852941
MobileNet+ResNet101_n_feat_ReliefF_300_RandomForest;MobileNet+ResNet101_n_feat;ReliefF;RandomForest;10;150528;No;300;0,911765
MobileNet+ResNet101_n_feat_ReliefF_300_Adaboost;MobileNet+ResNet101_n_feat;ReliefF;Adaboost;10;150528;No;300;0,852941
MobileNet+ResNet101_n_feat_ReliefF_300_Gaussian;MobileNet+ResNet101_n_feat;ReliefF;Gaussian;10;150528;No;300;0,882353
ResNet101+DenseNet169_n_feat_ReliefF_300_J48;ResNet101+DenseNet169_n_feat;ReliefF;J48;1;181888;No;300;0,657143
ResNet101+DenseNet169_n_feat_ReliefF_300_RBF;ResNet101+DenseNet169_n_feat;ReliefF;RBF;1;181888;No;300;0,8
ResNet101+DenseNet169_n_feat_ReliefF_300_LinearSVM;ResNet101+DenseNet169_n_feat;ReliefF;LinearSVM;1;181888;No;300;0,885714
ResNet101+DenseNet169_n_feat_ReliefF_300_MLP;ResNet101+DenseNet169_n_feat;ReliefF;MLP;1;181888;No;300;0,742857
ResNet101+DenseNet169_n_feat_ReliefF_300_Logistic;ResNet101+DenseNet169_n_feat;ReliefF;Logistic;1;181888;No;300;0,828571
ResNet101+DenseNet169_n_feat_ReliefF_300_RandomForest;ResNet101+DenseNet169_n_feat;ReliefF;RandomForest;1;181888;No;300;0,857143
ResNet101+DenseNet169_n_feat_ReliefF_300_Adaboost;ResNet101+DenseNet169_n_feat;ReliefF;Adaboost;1;181888;No;300;0,885714
ResNet101+DenseNet169_n_feat_ReliefF_300_Gaussian;ResNet101+DenseNet169_n_feat;ReliefF;Gaussian;1;181888;No;300;0,771429
ResNet101+DenseNet169_n_feat_ReliefF_300_J48;ResNet101+DenseNet169_n_feat;ReliefF;J48;2;181888;No;300;0,771429
ResNet101+DenseNet169_n_feat_ReliefF_300_RBF;ResNet101+DenseNet169_n_feat;ReliefF;RBF;2;181888;No;300;0,8
ResNet101+DenseNet169_n_feat_ReliefF_300_LinearSVM;ResNet101+DenseNet169_n_feat;ReliefF;LinearSVM;2;181888;No;300;0,828571
ResNet101+DenseNet169_n_feat_ReliefF_300_MLP;ResNet101+DenseNet169_n_feat;ReliefF;MLP;2;181888;No;300;0,685714
ResNet101+DenseNet169_n_feat_ReliefF_300_Logistic;ResNet101+DenseNet169_n_feat;ReliefF;Logistic;2;181888;No;300;0,742857
ResNet101+DenseNet169_n_feat_ReliefF_300_RandomForest;ResNet101+DenseNet169_n_feat;ReliefF;RandomForest;2;181888;No;300;0,828571
ResNet101+DenseNet169_n_feat_ReliefF_300_Adaboost;ResNet101+DenseNet169_n_feat;ReliefF;Adaboost;2;181888;No;300;0,742857
ResNet101+DenseNet169_n_feat_ReliefF_300_Gaussian;ResNet101+DenseNet169_n_feat;ReliefF;Gaussian;2;181888;No;300;0,857143
ResNet101+DenseNet169_n_feat_ReliefF_300_J48;ResNet101+DenseNet169_n_feat;ReliefF;J48;3;181888;No;300;0,705882
ResNet101+DenseNet169_n_feat_ReliefF_300_RBF;ResNet101+DenseNet169_n_feat;ReliefF;RBF;3;181888;No;300;0,852941
ResNet101+DenseNet169_n_feat_ReliefF_300_LinearSVM;ResNet101+DenseNet169_n_feat;ReliefF;LinearSVM;3;181888;No;300;0,852941
