Modelo;KFold01_Accuracy;KFold02_Accuracy;KFold03_Accuracy;KFold04_Accuracy;KFold05_Accuracy;KFold06_Accuracy;KFold07_Accuracy;KFold08_Accuracy;KFold09_Accuracy;KFold10_Accuracy
ResNet50_Full_Logistic;0,8857;0,9429;0,9118;0,8529;0,9706;0,9706;0,9118;1;0,9412;0,9706
ResNet50_Full_RandomForest;0,8571;0,8571;0,9118;0,8529;0,9412;0,9118;0,9118;0,9706;0,8824;0,8529
ResNet50_Full_Adaboost;0,8286;0,8571;0,9118;0,8824;0,9706;0,8529;0,8529;0,9412;0,9118;0,8529
ResNet50_Full_Gaussian;0,6857;0,7714;0,7647;0,6176;0,6765;0,6765;0,8529;0,6765;0,6471;0,6765
ResNet101_Full_J48;0,7143;0,8286;0,6765;0,7647;0,7941;0,7647;0,7647;0,7353;0,8529;0,8235
ResNet101_Full_RBF;0,8286;0,9143;0,9118;0,7941;0,9118;0,9118;0,9118;0,9412;0,9118;0,8529
ResNet101_Full_LinearSVM;0,8571;0,8857;0,9706;0,8824;0,9118;0,9118;0,9118;0,9706;0,9412;0,9412
ResNet101_Full_MLP;0,7143;0,8857;0,9412;0,7647;0,8529;0,9412;0,9412;0,9706;0,9412;0,8529
ResNet101_Full_Logistic;0,8571;0,8857;0,9706;0,8824;0,9118;0,9118;0,9118;0,9706;0,9412;0,9412
ResNet101_Full_RandomForest;0,8;0,8571;0,8824;0,8529;0,9118;0,9412;0,9412;0,9412;0,9412;0,8824
ResNet101_Full_Adaboost;0,8286;0,7714;0,8235;0,7941;0,8529;0,7647;0,8824;0,9118;0,9412;0,8824
ResNet101_Full_Gaussian;0,6286;0,7429;0,7059;0,5294;0,5588;0,5;0,7353;0,6765;0,7647;0,7059
ResNet152_Full_J48;0,7714;0,7429;0,7647;0,7647;0,7647;0,8235;0,9118;0,9412;0,8529;0,8529
ResNet152_Full_RBF;0,8571;0,8857;0,8529;0,7941;0,9412;0,9412;0,8824;0,8824;0,9412;0,8824
ResNet152_Full_LinearSVM;0,8571;0,9143;0,9706;0,8529;0,9706;0,9118;0,9706;0,9412;0,9118;0,9412
ResNet152_Full_MLP;0,8571;0,9143;0,9412;0,7353;0,9118;0,8529;0,8824;0,9118;0,9412;0,8824
ResNet152_Full_Logistic;0,8571;0,8857;0,9706;0,8529;0,9412;0,9412;0,9706;0,9412;0,9118;0,9412
ResNet152_Full_RandomForest;0,8571;0,8571;0,9118;0,8235;0,8824;0,9118;0,9412;0,8824;0,9118;0,9412
ResNet152_Full_Adaboost;0,8571;0,8571;0,8529;0,8529;0,8235;0,9412;0,9118;0,8529;0,8235;0,9118
