FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_F1Score,KFold02_F1Score,KFold03_F1Score,KFold04_F1Score,KFold05_F1Score,KFold06_F1Score,KFold07_F1Score,KFold08_F1Score,KFold09_F1Score,KFold10_F1Score,F1Score_Mean,F1Score_SD
EfficientNetB0+MobileNet_n_feat,ReliefF,No,300,Adaboost,0.7500,0.8889,0.8649,0.9048,0.7500,0.8485,0.8718,0.9189,0.9302,0.9189,0.8647,0.0624
EfficientNetB0+MobileNet_n_feat,ReliefF,No,300,Gaussian,0.6897,0.8462,0.9032,0.8205,0.7742,0.7742,0.8750,0.9444,0.9000,0.9143,0.8442,0.0753
MobileNet+ResNet50_n_feat,ReliefF,No,300,PCC,0.6207,0.7857,0.5806,0.7692,0.8125,0.7879,0.8125,0.8718,0.7317,0.7778,0.7550,0.0848
MobileNet+ResNet50_n_feat,ReliefF,No,300,J48,0.8276,0.7097,0.8333,0.9048,0.6250,0.7778,0.8276,0.8293,0.8780,0.7778,0.7991,0.0777
MobileNet+ResNet50_n_feat,ReliefF,No,300,RBF,0.8125,0.9231,0.8824,0.9048,0.8571,0.9412,0.8824,1.0000,0.9524,1.0000,0.9156,0.0572
MobileNet+ResNet50_n_feat,ReliefF,No,300,LinearSVM,0.9375,0.9231,0.8571,0.9302,0.8333,1.0000,0.8235,0.9714,0.9545,0.9143,0.9145,0.0558
MobileNet+ResNet50_n_feat,ReliefF,No,300,MLP,0.8750,0.8571,0.9412,0.8182,0.8000,0.9189,0.8421,0.9474,0.9545,0.9231,0.8878,0.0537
MobileNet+ResNet50_n_feat,ReliefF,No,300,Logistic,0.9091,0.9231,0.8889,0.9302,0.8108,1.0000,0.8485,0.9714,0.9545,0.9444,0.9181,0.0539
MobileNet+ResNet50_n_feat,ReliefF,No,300,RandomForest,0.8571,0.8889,0.8571,0.9302,0.8571,0.8824,0.9091,0.9444,0.9767,1.0000,0.9103,0.0487
MobileNet+ResNet50_n_feat,ReliefF,No,300,Adaboost,0.9032,0.8889,0.8824,0.9091,0.8333,0.9412,0.8571,0.9444,0.9524,0.8889,0.9001,0.0365
MobileNet+ResNet50_n_feat,ReliefF,No,300,Gaussian,0.8571,0.8333,0.9375,0.8780,0.8000,0.8387,0.8000,0.8750,0.9268,0.8889,0.8635,0.0448
Xception+ResNet50_n_feat,ReliefF,No,300,PCC,0.7333,0.6923,0.7273,0.7692,0.7742,0.7742,0.8125,0.8947,0.8571,0.8000,0.7835,0.0577
Xception+ResNet50_n_feat,ReliefF,No,300,J48,0.8667,0.7857,0.8293,0.8372,0.7647,0.6875,0.8000,0.9143,0.8636,0.8421,0.8191,0.0600
Xception+ResNet50_n_feat,ReliefF,No,300,RBF,0.8485,0.8276,0.8824,0.8780,0.8889,0.8824,0.8485,0.9714,0.9091,0.9268,0.8864,0.0398
Xception+ResNet50_n_feat,ReliefF,No,300,LinearSVM,0.8387,0.8571,0.9143,0.8636,0.9444,0.8824,0.9091,0.9714,0.9130,0.9474,0.9042,0.0410
Xception+ResNet50_n_feat,ReliefF,No,300,MLP,0.8571,0.8276,0.9143,0.8261,0.7895,0.8824,0.8235,0.9444,0.8696,0.9231,0.8658,0.0478
Xception+ResNet50_n_feat,ReliefF,No,300,Logistic,0.9032,0.8276,0.9143,0.8095,0.9189,0.8485,0.8387,0.9444,0.9091,0.9189,0.8833,0.0448
Xception+ResNet50_n_feat,ReliefF,No,300,RandomForest,0.8966,0.8889,0.8571,0.8780,0.9444,0.9444,0.8750,0.9444,0.9302,0.9231,0.9082,0.0313
Xception+ResNet50_n_feat,ReliefF,No,300,Adaboost,0.9333,0.8276,0.8485,0.8636,0.9444,0.9143,0.8824,0.9444,0.9524,0.9000,0.9011,0.0419
Xception+ResNet50_n_feat,ReliefF,No,300,Gaussian,0.8571,0.8148,0.8750,0.8000,0.7586,0.8750,0.7333,0.8750,0.8718,0.8333,0.8294,0.0491
VGG16+VGG19_n_feat,ReliefF,No,300,PCC,0.5000,0.4800,0.6061,0.5714,0.7097,0.5625,0.6667,0.7429,0.7500,0.8500,0.6439,0.1137
VGG16+VGG19_n_feat,ReliefF,No,300,J48,0.7500,0.6429,0.7368,0.8293,0.7222,0.6000,0.6875,0.7368,0.8837,0.7368,0.7326,0.0777
VGG16+VGG19_n_feat,ReliefF,No,300,RBF,0.7879,0.8889,0.8649,0.8293,0.8571,0.9143,0.9444,0.9444,0.9524,0.9000,0.8884,0.0513
