FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_ROCScore,KFold02_ROCScore,KFold03_ROCScore,KFold04_ROCScore,KFold05_ROCScore,KFold06_ROCScore,KFold07_ROCScore,KFold08_ROCScore,KFold09_ROCScore,KFold10_ROCScore,ROCScore_Mean,ROCScore_SD
ResNet101+DenseNet121_n_feat,ReliefF,No,250,J48,0.8250,0.7880,0.7941,0.6750,0.6765,0.7292,0.7941,0.7882,0.8295,0.7947,0.7694,0.0533
ResNet101+DenseNet121_n_feat,ReliefF,No,250,RBF,0.7750,0.8279,0.8235,0.8429,0.8824,0.8854,0.9118,0.8229,0.8523,0.8807,0.8505,0.0383
ResNet101+DenseNet121_n_feat,ReliefF,No,250,LinearSVM,0.8417,0.8080,0.9412,0.7964,0.8529,0.8854,0.8824,0.8264,0.9129,0.8544,0.8602,0.0434
ResNet101+DenseNet121_n_feat,ReliefF,No,250,MLP,0.7250,0.7844,0.8529,0.7964,0.7941,0.7986,0.9412,0.8472,0.8712,0.7211,0.8132,0.0636
ResNet101+DenseNet121_n_feat,ReliefF,No,250,Logistic,0.8667,0.7663,0.8529,0.7714,0.8824,0.8854,0.8235,0.8264,0.8902,0.8211,0.8386,0.0426
ResNet101+DenseNet121_n_feat,ReliefF,No,250,RandomForest,0.8250,0.8080,0.8235,0.8929,0.8529,0.9132,0.9412,0.9722,0.9356,0.8614,0.8826,0.0539
ResNet101+DenseNet121_n_feat,ReliefF,No,250,Adaboost,0.8250,0.8297,0.8529,0.8321,0.7941,0.8229,0.8824,0.8854,0.8902,0.8544,0.8469,0.0301
ResNet101+DenseNet121_n_feat,ReliefF,No,250,Gaussian,0.7583,0.7880,0.7941,0.8786,0.7941,0.8854,0.9118,0.8333,0.7955,0.7684,0.8208,0.0507
ResNet101+MobileNetV2_n_feat,ReliefF,No,250,PCC,0.6667,0.7627,0.7353,0.8643,0.8824,0.8507,0.8529,0.8264,0.7689,0.8877,0.8098,0.0693
ResNet101+MobileNetV2_n_feat,ReliefF,No,250,J48,0.7500,0.7862,0.8824,0.7964,0.7353,0.7674,0.7941,0.8819,0.7424,0.7684,0.7905,0.0499
ResNet101+MobileNetV2_n_feat,ReliefF,No,250,RBF,0.8333,0.8279,0.9118,0.8071,0.9118,0.9132,0.9118,0.9132,0.8939,0.8807,0.8805,0.0395
ResNet101+MobileNetV2_n_feat,ReliefF,No,250,LinearSVM,0.8917,0.8062,0.9118,0.7964,0.8824,0.9132,0.8824,0.8785,0.8523,0.8544,0.8669,0.0380
ResNet101+MobileNetV2_n_feat,ReliefF,No,250,MLP,0.8750,0.8478,0.9412,0.7857,0.8235,0.8229,0.8824,0.8194,0.9773,0.8140,0.8589,0.0576
ResNet101+MobileNetV2_n_feat,ReliefF,No,250,Logistic,1.0000,0.7844,0.9118,0.7964,0.8824,0.9167,0.8529,0.8507,0.8939,0.8544,0.8744,0.0592
ResNet101+MobileNetV2_n_feat,ReliefF,No,250,RandomForest,0.8583,0.8714,0.8529,0.8929,0.8529,0.8819,0.9412,0.9132,0.8939,0.9474,0.8906,0.0326
ResNet101+MobileNetV2_n_feat,ReliefF,No,250,Adaboost,0.8000,0.7428,0.9118,0.8214,0.9118,0.8264,0.8529,0.8576,0.8939,0.8351,0.8454,0.0500
ResNet101+MobileNetV2_n_feat,ReliefF,No,250,Gaussian,0.7583,0.8514,0.9118,0.8786,0.8529,0.7743,0.8824,0.8333,0.7955,0.8684,0.8407,0.0475
EfficientNetB0+MobileNet_n_feat,ReliefF,No,250,PCC,0.6667,0.6812,0.7941,0.7071,0.6471,0.6493,0.7059,0.6111,0.7386,0.6825,0.6884,0.0491
EfficientNetB0+MobileNet_n_feat,ReliefF,No,250,J48,0.8083,0.6576,0.7941,0.7821,0.7647,0.6806,0.7647,0.7049,0.8485,0.8807,0.7686,0.0675
EfficientNetB0+MobileNet_n_feat,ReliefF,No,250,RBF,0.8333,0.9565,0.9412,0.8929,0.8824,0.9132,0.9118,0.8785,0.9129,0.9474,0.9070,0.0352
EfficientNetB0+MobileNet_n_feat,ReliefF,No,250,LinearSVM,0.8583,0.9565,0.9118,0.8929,0.7941,0.8854,0.9118,0.8785,0.9583,0.9404,0.8988,0.0471
EfficientNetB0+MobileNet_n_feat,ReliefF,No,250,MLP,0.8333,0.9565,0.9118,0.8321,0.8235,0.8576,0.8235,0.9132,1.0000,0.8807,0.8832,0.0580
EfficientNetB0+MobileNet_n_feat,ReliefF,No,250,Logistic,0.8250,0.9565,0.9118,0.8571,0.8235,0.8854,0.8824,0.8785,0.9583,0.9737,0.8952,0.0512
EfficientNetB0+MobileNet_n_feat,ReliefF,No,250,RandomForest,0.8833,0.9348,0.9118,0.8179,0.8529,0.8576,0.8529,0.8785,0.9545,0.9474,0.8892,0.0437
EfficientNetB0+MobileNet_n_feat,ReliefF,No,250,Adaboost,0.7917,0.8696,0.8235,0.8429,0.7647,0.8299,0.7941,0.9410,0.8712,0.8614,0.8390,0.0479
EfficientNetB0+MobileNet_n_feat,ReliefF,No,250,Gaussian,0.7083,0.9149,0.9412,0.8179,0.7941,0.8021,0.9118,0.9410,0.9091,0.9211,0.8661,0.0755
MobileNet+ResNet50_n_feat,ReliefF,No,250,PCC,0.7000,0.7663,0.6471,0.7179,0.7647,0.8229,0.7941,0.8750,0.7614,0.7684,0.7618,0.0605
MobileNet+ResNet50_n_feat,ReliefF,No,250,J48,0.7500,0.7428,0.7941,0.9036,0.6176,0.7083,0.7941,0.8507,0.7652,0.7877,0.7714,0.0735
MobileNet+ResNet50_n_feat,ReliefF,No,250,RBF,0.8333,0.9565,0.8824,0.8679,0.8529,0.9167,0.8824,1.0000,0.9545,0.9667,0.9113,0.0528
MobileNet+ResNet50_n_feat,ReliefF,No,250,LinearSVM,0.8583,0.9348,0.9118,0.8321,0.7941,0.9410,0.8824,0.9722,0.8902,0.9474,0.8964,0.0532
MobileNet+ResNet50_n_feat,ReliefF,No,250,MLP,0.8750,0.8913,0.8824,0.8321,0.7647,0.8542,0.8235,0.9722,0.9773,0.8807,0.8753,0.0611
