ExtractionMethod;Reduction;Classification;Fold;Features;Normalization;Components;PCC;ACC;F1;ROC;ExtractionTime;ReductionTime;ClassfTrainning;ClassfPredict
Xception+ResNet50;ReliefF;RBF;6;305152;No;50;0;91,1765;91,4286;91,3194;127,1675;86;0,0024;0,0004
Xception+ResNet50;ReliefF;LinearSVM;6;305152;No;50;0;85,2941;85,7143;85,4167;127,1675;86;0,0018;0,0002
Xception+ResNet50;ReliefF;MLP;6;305152;No;50;0;85,2941;85,7143;85,4167;127,1675;86;0,516;0,0003
Xception+ResNet50;ReliefF;Logistic;6;305152;No;50;0;82,3529;82,3529;82,6389;127,1675;86;0,0358;0,0002
Xception+ResNet50;ReliefF;RandomForest;6;305152;No;50;0;88,2353;88,2353;88,5417;127,1675;86;0,19;0,0068
Xception+ResNet50;ReliefF;Adaboost;6;305152;No;50;0;85,2941;85,7143;85,4167;127,1675;86;0,0794;0,0047
Xception+ResNet50;ReliefF;Gaussian;6;305152;No;50;0;85,2941;84,8485;85,7639;127,1675;86;0,0006;0,0001
Xception+ResNet50;ReliefF;J48;7;305152;No;50;0;79,4118;78,7879;79,4118;127,1675;83;0,0019;0,0001
Xception+ResNet50;ReliefF;RBF;7;305152;No;50;0;85,2941;83,871;85,2941;127,1675;83;0,0023;0,0003
Xception+ResNet50;ReliefF;LinearSVM;7;305152;No;50;0;82,3529;82,3529;82,3529;127,1675;83;0,0018;0,0002
Xception+ResNet50;ReliefF;MLP;7;305152;No;50;0;85,2941;83,871;85,2941;127,1675;83;0,567;0,0002
Xception+ResNet50;ReliefF;Logistic;7;305152;No;50;0;82,3529;82,3529;82,3529;127,1675;83;0,0255;0,0001
Xception+ResNet50;ReliefF;RandomForest;7;305152;No;50;0;85,2941;83,871;85,2941;127,1675;83;0,1241;0,0109
Xception+ResNet50;ReliefF;Adaboost;7;305152;No;50;0;88,2353;88,2353;88,2353;127,1675;83;0,0709;0,0047
Xception+ResNet50;ReliefF;Gaussian;7;305152;No;50;0;85,2941;84,8485;85,2941;127,1675;83;0,0008;0,0001
Xception+ResNet50;ReliefF;J48;8;305152;No;50;0;88,2353;90;87,5;127,1675;82;0,0022;0,0001
Xception+ResNet50;ReliefF;RBF;8;305152;No;50;0;100;100;100;127,1675;82;0,0023;0,0004
Xception+ResNet50;ReliefF;LinearSVM;8;305152;No;50;0;94,1176;94,7368;93,75;127,1675;82;0,002;0,0002
Xception+ResNet50;ReliefF;MLP;8;305152;No;50;0;91,1765;92,3077;90,625;127,1675;82;0,5631;0,0002
Xception+ResNet50;ReliefF;Logistic;8;305152;No;50;0;97,0588;97,2973;96,875;127,1675;82;0,0218;0,0001
Xception+ResNet50;ReliefF;RandomForest;8;305152;No;50;0;94,1176;94,4444;94,0972;127,1675;82;0,1239;0,0091
Xception+ResNet50;ReliefF;Adaboost;8;305152;No;50;0;91,1765;91,8919;90,9722;127,1675;82;0,0739;0,0048
Xception+ResNet50;ReliefF;Gaussian;8;305152;No;50;0;91,1765;91,4286;91,3194;127,1675;82;0,0008;0,0001
Xception+ResNet50;ReliefF;J48;9;305152;No;50;0;82,3529;86,9565;78,7879;127,1675;83;0,002;0,0002
Xception+ResNet50;ReliefF;RBF;9;305152;No;50;0;85,2941;88,3721;84,8485;127,1675;83;0,0023;0,0003
Xception+ResNet50;ReliefF;LinearSVM;9;305152;No;50;0;85,2941;88,3721;84,8485;127,1675;83;0,0019;0,0002
Xception+ResNet50;ReliefF;MLP;9;305152;No;50;0;88,2353;90;90,9091;127,1675;83;0,5868;0,0002
Xception+ResNet50;ReliefF;Logistic;9;305152;No;50;0;85,2941;88,3721;84,8485;127,1675;83;0,0192;0,0001
Xception+ResNet50;ReliefF;RandomForest;9;305152;No;50;0;91,1765;92,6829;93,1818;127,1675;83;0,1236;0,0087
Xception+ResNet50;ReliefF;Adaboost;9;305152;No;50;0;88,2353;90;90,9091;127,1675;83;0,0759;0,0045
Xception+ResNet50;ReliefF;Gaussian;9;305152;No;50;0;82,3529;86,3636;80,6818;127,1675;83;0,0006;0,0001
Xception+ResNet50;ReliefF;J48;10;305152;No;50;0;82,3529;85;81,4035;127,1675;86;0,002;0,0001
Xception+ResNet50;ReliefF;RBF;10;305152;No;50;0;91,1765;92,3077;90,7018;127,1675;86;0,0026;0,0004
Xception+ResNet50;ReliefF;LinearSVM;10;305152;No;50;0;94,1176;94,7368;94,0351;127,1675;86;0,0021;0,0002
Xception+ResNet50;ReliefF;MLP;10;305152;No;50;0;91,1765;91,4286;92,1053;127,1675;86;0,689;0,0002
Xception+ResNet50;ReliefF;Logistic;10;305152;No;50;0;94,1176;94,4444;94,7368;127,1675;86;0,0201;0,0001
Xception+ResNet50;ReliefF;RandomForest;10;305152;No;50;0;88,2353;89,4737;88,0702;127,1675;86;0,1389;0,0106
Xception+ResNet50;ReliefF;Adaboost;10;305152;No;50;0;91,1765;91,8919;91,4035;127,1675;86;0,0746;0,0048
Xception+ResNet50;ReliefF;Gaussian;10;305152;No;50;0;82,3529;83,3333;82,807;127,1675;86;0,0009;0,0002
VGG16+VGG19;ReliefF;J48;1;50176;No;50;0;74,2857;68,9655;73,3333;141,3282;14;0,0015;0,0001
VGG16+VGG19;ReliefF;RBF;1;50176;No;50;0;68,5714;68,5714;70;141,3282;14;0,0023;0,0003
VGG16+VGG19;ReliefF;LinearSVM;1;50176;No;50;0;68,5714;66,6667;69,1667;141,3282;14;0,0028;0,0002
VGG16+VGG19;ReliefF;MLP;1;50176;No;50;0;71,4286;72,2222;73,3333;141,3282;14;0,5616;0,0002
VGG16+VGG19;ReliefF;Logistic;1;50176;No;50;0;68,5714;68,5714;70;141,3282;14;0,0225;0,0001
VGG16+VGG19;ReliefF;RandomForest;1;50176;No;50;0;80;78,7879;80,8333;141,3282;14;0,1809;0,0152
VGG16+VGG19;ReliefF;Adaboost;1;50176;No;50;0;77,1429;73,3333;76,6667;141,3282;14;0,0538;0,0047
VGG16+VGG19;ReliefF;Gaussian;1;50176;No;50;0;68,5714;68,5714;70;141,3282;14;0,0006;0,0001
VGG16+VGG19;ReliefF;J48;2;50176;No;50;0;68,5714;66,6667;74,0942;141,3282;15;0,0014;0,0001
VGG16+VGG19;ReliefF;RBF;2;50176;No;50;0;82,8571;76,9231;82,971;141,3282;15;0,0025;0,0004
VGG16+VGG19;ReliefF;LinearSVM;2;50176;No;50;0;85,7143;80;85,1449;141,3282;15;0,005;0,0002
VGG16+VGG19;ReliefF;MLP;2;50176;No;50;0;77,1429;71,4286;78,6232;141,3282;15;0,644;0,0002
VGG16+VGG19;ReliefF;Logistic;2;50176;No;50;0;80;74,0741;80,7971;141,3282;15;0,027;0,0001
VGG16+VGG19;ReliefF;RandomForest;2;50176;No;50;0;88,5714;85,7143;91,3043;141,3282;15;0,1217;0,0095
VGG16+VGG19;ReliefF;Adaboost;2;50176;No;50;0;85,7143;78,2609;83,1522;141,3282;15;0,0744;0,0049
VGG16+VGG19;ReliefF;Gaussian;2;50176;No;50;0;77,1429;69,2308;76,6304;141,3282;15;0,0006;0,0001
VGG16+VGG19;ReliefF;J48;3;50176;No;50;0;58,8235;58,8235;58,8235;141,3282;13;0,0017;0,0001
VGG16+VGG19;ReliefF;RBF;3;50176;No;50;0;73,5294;76,9231;73,5294;141,3282;13;0,0021;0,0003
VGG16+VGG19;ReliefF;LinearSVM;3;50176;No;50;0;64,7059;71,4286;64,7059;141,3282;13;0,0031;0,0002
VGG16+VGG19;ReliefF;MLP;3;50176;No;50;0;76,4706;76,4706;76,4706;141,3282;13;0,5006;0,0002
VGG16+VGG19;ReliefF;Logistic;3;50176;No;50;0;64,7059;66,6667;64,7059;141,3282;13;0,0335;0,0001
VGG16+VGG19;ReliefF;RandomForest;3;50176;No;50;0;73,5294;72,7273;73,5294;141,3282;13;0,1475;0,0127
VGG16+VGG19;ReliefF;Adaboost;3;50176;No;50;0;73,5294;74,2857;73,5294;141,3282;13;0,0697;0,0045
VGG16+VGG19;ReliefF;Gaussian;3;50176;No;50;0;70,5882;73,6842;70,5882;141,3282;13;0,0007;0,0001
VGG16+VGG19;ReliefF;J48;4;50176;No;50;0;67,6471;70,2703;68,2143;141,3282;14;0,0017;0,0001
VGG16+VGG19;ReliefF;RBF;4;50176;No;50;0;73,5294;75,6757;74,2857;141,3282;14;0,0021;0,0003
VGG16+VGG19;ReliefF;LinearSVM;4;50176;No;50;0;70,5882;75;69,6429;141,3282;14;0,0043;0,0002
VGG16+VGG19;ReliefF;MLP;4;50176;No;50;0;67,6471;71,7949;67,1429;141,3282;14;0,5038;0,0002
VGG16+VGG19;ReliefF;Logistic;4;50176;No;50;0;73,5294;76,9231;73,2143;141,3282;14;0,0374;0,0001
VGG16+VGG19;ReliefF;RandomForest;4;50176;No;50;0;79,4118;82,0513;79,2857;141,3282;14;0,1302;0,009
VGG16+VGG19;ReliefF;Adaboost;4;50176;No;50;0;76,4706;80;75,7143;141,3282;14;0,0743;0,0051
VGG16+VGG19;ReliefF;Gaussian;4;50176;No;50;0;64,7059;68,4211;64,6429;141,3282;14;0,0006;0,0001
VGG16+VGG19;ReliefF;J48;5;50176;No;50;0;61,7647;62,8571;61,7647;141,3282;13;0,0015;0,0001
VGG16+VGG19;ReliefF;RBF;5;50176;No;50;0;82,3529;82,3529;82,3529;141,3282;13;0,002;0,0003
VGG16+VGG19;ReliefF;LinearSVM;5;50176;No;50;0;76,4706;75;76,4706;141,3282;13;0,0041;0,0002
VGG16+VGG19;ReliefF;MLP;5;50176;No;50;0;85,2941;84,8485;85,2941;141,3282;13;0,5868;0,0002
VGG16+VGG19;ReliefF;Logistic;5;50176;No;50;0;79,4118;77,4194;79,4118;141,3282;13;0,0436;0,0001
VGG16+VGG19;ReliefF;RandomForest;5;50176;No;50;0;85,2941;84,8485;85,2941;141,3282;13;0,1259;0,0092
VGG16+VGG19;ReliefF;Adaboost;5;50176;No;50;0;79,4118;77,4194;79,4118;141,3282;13;0,073;0,0049
VGG16+VGG19;ReliefF;Gaussian;5;50176;No;50;0;76,4706;75;76,4706;141,3282;13;0,0006;0,0001
VGG16+VGG19;ReliefF;J48;6;50176;No;50;0;73,5294;72,7273;73,9583;141,3282;14;0,0015;0,0001
VGG16+VGG19;ReliefF;RBF;6;50176;No;50;0;88,2353;88,2353;88,5417;141,3282;14;0,0021;0,0003
VGG16+VGG19;ReliefF;LinearSVM;6;50176;No;50;0;85,2941;85,7143;85,4167;141,3282;14;0,0062;0,0002
VGG16+VGG19;ReliefF;MLP;6;50176;No;50;0;85,2941;86,4865;85,0694;141,3282;14;0,5504;0,0002
VGG16+VGG19;ReliefF;Logistic;6;50176;No;50;0;88,2353;88,2353;88,5417;141,3282;14;0,0254;0,0001
VGG16+VGG19;ReliefF;RandomForest;6;50176;No;50;0;82,3529;82,3529;82,6389;141,3282;14;0,1269;0,009
VGG16+VGG19;ReliefF;Adaboost;6;50176;No;50;0;85,2941;83,871;86,1111;141,3282;14;0,0834;0,0046
VGG16+VGG19;ReliefF;Gaussian;6;50176;No;50;0;94,1176;94,4444;94,0972;141,3282;14;0,0006;0,0001
VGG16+VGG19;ReliefF;J48;7;50176;No;50;0;73,5294;76,9231;73,5294;141,3282;13;0,0018;0,0001
VGG16+VGG19;ReliefF;RBF;7;50176;No;50;0;82,3529;85;82,3529;141,3282;13;0,0023;0,0003
VGG16+VGG19;ReliefF;LinearSVM;7;50176;No;50;0;73,5294;74,2857;73,5294;141,3282;13;0,0079;0,0002
VGG16+VGG19;ReliefF;MLP;7;50176;No;50;0;79,4118;81,0811;79,4118;141,3282;13;0,4721;0,0002
VGG16+VGG19;ReliefF;Logistic;7;50176;No;50;0;70,5882;70,5882;70,5882;141,3282;13;0,0341;0,0001
VGG16+VGG19;ReliefF;RandomForest;7;50176;No;50;0;88,2353;89,4737;88,2353;141,3282;13;0,1281;0,0095
VGG16+VGG19;ReliefF;Adaboost;7;50176;No;50;0;85,2941;84,8485;85,2941;141,3282;13;0,0688;0,0045
VGG16+VGG19;ReliefF;Gaussian;7;50176;No;50;0;76,4706;77,7778;76,4706;141,3282;13;0,0006;0,0001
VGG16+VGG19;ReliefF;J48;8;50176;No;50;0;85,2941;87,8049;84,375;141,3282;13;0,0016;0,0001
VGG16+VGG19;ReliefF;RBF;8;50176;No;50;0;91,1765;92,3077;90,625;141,3282;13;0,0024;0,0004
VGG16+VGG19;ReliefF;LinearSVM;8;50176;No;50;0;91,1765;91,8919;90,9722;141,3282;13;0,0045;0,0002
VGG16+VGG19;ReliefF;MLP;8;50176;No;50;0;76,4706;80;75,6944;141,3282;13;0,5382;0,0002
VGG16+VGG19;ReliefF;Logistic;8;50176;No;50;0;88,2353;90;87,5;141,3282;13;0,0274;0,0001
VGG16+VGG19;ReliefF;RandomForest;8;50176;No;50;0;88,2353;88,8889;88,1944;141,3282;13;0,1404;0,0112
VGG16+VGG19;ReliefF;Adaboost;8;50176;No;50;0;94,1176;94,7368;93,75;141,3282;13;0,0757;0,0048
VGG16+VGG19;ReliefF;Gaussian;8;50176;No;50;0;88,2353;89,4737;87,8472;141,3282;13;0,0006;0,0001
VGG16+VGG19;ReliefF;J48;9;50176;No;50;0;73,5294;79,0698;71,9697;141,3282;13;0,0017;0,0001
VGG16+VGG19;ReliefF;RBF;9;50176;No;50;0;85,2941;88,8889;82,9545;141,3282;13;0,0023;0,0003
VGG16+VGG19;ReliefF;LinearSVM;9;50176;No;50;0;76,4706;81,8182;74,2424;141,3282;13;0,0038;0,0002
VGG16+VGG19;ReliefF;MLP;9;50176;No;50;0;82,3529;86,3636;80,6818;141,3282;13;0,6762;0,0002
VGG16+VGG19;ReliefF;Logistic;9;50176;No;50;0;73,5294;80;70,0758;141,3282;13;0,039;0,0002
VGG16+VGG19;ReliefF;RandomForest;9;50176;No;50;0;85,2941;88,3721;84,8485;141,3282;13;0,1372;0,013
