FeatureExtraction;DimReduction;Normalization;NumberComponents;Classifier;KFold01_Accuracy;KFold02_Accuracy;KFold03_Accuracy;KFold04_Accuracy;KFold05_Accuracy;KFold06_Accuracy;KFold07_Accuracy;KFold08_Accuracy;KFold09_Accuracy;KFold10_Accuracy;Accuracy_Mean;Accuracy_SD
MobileNet+ResNet101;ReliefF;No;20;RandomForest;0,8286;0,8;0,8235;0,8824;0,8235;0,8235;0,9412;0,8529;0,9118;0,8824;0,857;0,0434
MobileNet+ResNet101;ReliefF;No;20;Adaboost;0,8;0,8286;0,8824;0,8529;0,7353;0,9118;0,7941;0,8235;0,9412;0,8529;0,8423;0,057
MobileNet+ResNet101;ReliefF;No;20;Gaussian;0,8286;0,8286;0,8235;0,7941;0,8235;0,8235;0,9118;0,9118;0,8235;0,8529;0,8422;0,0372
ResNet101+DenseNet169;ReliefF;No;20;J48;0,6857;0,8;0,7353;0,7647;0,7941;0,7647;0,7647;0,8235;0,7941;0,8235;0,775;0,0399
ResNet101+DenseNet169;ReliefF;No;20;RBF;0,7714;0,7714;0,8824;0,9118;0,8529;0,8529;0,9118;0,9412;0,8824;0,8824;0,8661;0,0537
ResNet101+DenseNet169;ReliefF;No;20;LinearSVM;0,7714;0,8;0,8529;0,8824;0,8235;0,8529;0,9118;0,9118;0,8824;0,8824;0,8571;0,0443
ResNet101+DenseNet169;ReliefF;No;20;MLP;0,8571;0,8857;0,8235;0,8824;0,8235;0,8235;0,9118;0,8235;0,9118;0,7941;0,8537;0,0397
ResNet101+DenseNet169;ReliefF;No;20;Logistic;0,8;0,8;0,8235;0,7941;0,8235;0,8529;0,9118;0,8529;0,9118;0,8824;0,8453;0,0424
ResNet101+DenseNet169;ReliefF;No;20;RandomForest;0,8;0,8;0,8529;0,9118;0,8529;0,9118;0,8824;0,9118;0,8824;0,9118;0,8718;0,042
ResNet101+DenseNet169;ReliefF;No;20;Adaboost;0,7714;0,8;0,8529;0,9118;0,7059;0,8529;0,8824;0,9118;0,9118;0,8529;0,8454;0,0646
ResNet101+DenseNet169;ReliefF;No;20;Gaussian;0,7714;0,8;0,8824;0,8235;0,8529;0,8235;0,9118;0,9412;0,8824;0,8824;0,8571;0,0498
ResNet101+DenseNet121;ReliefF;No;20;J48;0,6;0,6857;0,7647;0,7941;0,7941;0,7353;0,6176;0,8235;0,9118;0,7059;0,7433;0,0903
ResNet101+DenseNet121;ReliefF;No;20;RBF;0,8;0,7143;0,8529;0,9118;0,8824;0,9118;0,9118;0,9412;0,8529;0,8529;0,8632;0,0633
ResNet101+DenseNet121;ReliefF;No;20;LinearSVM;0,8286;0,7143;0,8235;0,8529;0,8529;0,9412;0,9118;0,8824;0,8529;0,8824;0,8543;0,058
ResNet101+DenseNet121;ReliefF;No;20;MLP;0,7429;0,7429;0,7941;0,8235;0,8235;0,9118;0,8824;0,8235;0,8824;0,8824;0,8309;0,0561
ResNet101+DenseNet121;ReliefF;No;20;Logistic;0,8571;0,7429;0,8235;0,8529;0,8529;0,9118;0,9118;0,8824;0,8529;0,9118;0,86;0,0487
ResNet101+DenseNet121;ReliefF;No;20;RandomForest;0,8;0,7429;0,7941;0,8824;0,8235;0,8824;0,8824;0,8824;0,8824;0,8529;0,8425;0,0474
ResNet101+DenseNet121;ReliefF;No;20;Adaboost;0,8857;0,6857;0,7941;0,7647;0,7647;0,8235;0,8529;0,9118;0,8824;0,8529;0,8218;0,066
ResNet101+DenseNet121;ReliefF;No;20;Gaussian;0,8571;0,7429;0,8529;0,7941;0,8824;0,8529;0,9412;0,9706;0,8529;0,8824;0,8629;0,0616
ResNet101+MobileNetV2;ReliefF;No;20;J48;0,8571;0,6857;0,7941;0,7647;0,7941;0,7353;0,7941;0,8529;0,7941;0,8529;0,7925;0,0519
ResNet101+MobileNetV2;ReliefF;No;20;RBF;0,8286;0,7429;0,7941;0,8529;0,8824;0,8529;0,9118;0,8824;0,7941;0,8529;0,8395;0,048
ResNet101+MobileNetV2;ReliefF;No;20;LinearSVM;0,8;0,7429;0,7647;0,7941;0,8529;0,8824;0,9118;0,8824;0,8235;0,9412;0,8396;0,0618
ResNet101+MobileNetV2;ReliefF;No;20;MLP;0,8;0,7429;0,7059;0,9118;0,8235;0,7059;0,9118;0,8235;0,8824;0,9118;0,8219;0,0784
ResNet101+MobileNetV2;ReliefF;No;20;Logistic;0,8286;0,7429;0,7647;0,8235;0,8529;0,7941;0,9118;0,8529;0,8529;0,8824;0,8307;0,0492
ResNet101+MobileNetV2;ReliefF;No;20;RandomForest;0,8286;0,7714;0,8235;0,8529;0,8529;0,7941;0,9118;0,7941;0,8529;0,9118;0,8394;0,0448
ResNet101+MobileNetV2;ReliefF;No;20;Adaboost;0,7714;0,6571;0,7941;0,8529;0,7941;0,7941;0,8529;0,7941;0,9118;0,9118;0,8134;0,0708
ResNet101+MobileNetV2;ReliefF;No;20;Gaussian;0,7714;0,7429;0,7941;0,7647;0,8824;0,8235;0,9412;0,8235;0,8235;0,8529;0,822;0,0563
EfficientNetB0+MobileNet;ReliefF;No;20;J48;0,7714;0,7429;0,7647;0,7059;0,8235;0,6765;0,7059;0,7941;0,7647;0,8529;0,7603;0,0521
EfficientNetB0+MobileNet;ReliefF;No;20;RBF;0,8286;0,8571;0,7647;0,7647;0,8529;0,8235;0,7941;0,8529;0,9118;0,8529;0,8303;0,0434
EfficientNetB0+MobileNet;ReliefF;No;20;LinearSVM;0,8286;0,8857;0,7647;0,8235;0,8529;0,7941;0,9118;0,8235;0,9118;0,8235;0,842;0,0461
EfficientNetB0+MobileNet;ReliefF;No;20;MLP;0,7429;0,8;0,7059;0,7059;0,8235;0,7353;0,7353;0,8529;0,8235;0,8824;0,7808;0,0603
EfficientNetB0+MobileNet;ReliefF;No;20;Logistic;0,8286;0,8571;0,7941;0,8235;0,8529;0,8235;0,8529;0,7941;0,8824;0,8529;0,8362;0,0271
EfficientNetB0+MobileNet;ReliefF;No;20;RandomForest;0,8571;0,9143;0,7941;0,7059;0,8235;0,7941;0,8529;0,7941;0,8824;0,8824;0,8301;0,0576
