FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_ROCScore,KFold02_ROCScore,KFold03_ROCScore,KFold04_ROCScore,KFold05_ROCScore,KFold06_ROCScore,KFold07_ROCScore,KFold08_ROCScore,KFold09_ROCScore,KFold10_ROCScore,ROCScore_Mean,ROCScore_SD
MobileNet,Full,No,50176,MLP,0.8583,0.9565,0.9118,0.8571,0.9118,0.8542,0.7941,0.9132,0.9129,0.9737,0.8944,0.0508
MobileNet,Full,No,50176,Logistic,0.8833,0.9783,0.9412,0.8321,0.9118,0.941,0.8824,0.9688,0.9545,1,0.9293,0.0489
MobileNet,Full,No,50176,RandomForest,0.85,0.9348,0.9118,0.8429,0.8529,0.8854,0.8235,0.9722,0.9091,1,0.8983,0.0554
MobileNet,Full,No,50176,Adaboost,0.7333,0.9149,0.8235,0.8679,0.8529,0.9375,0.8824,0.9375,0.8523,0.8807,0.8683,0.0573
MobileNet,Full,No,50176,Gaussian,0.6583,0.7464,0.7647,0.6893,0.7353,0.7986,0.6471,0.8299,0.7311,0.8421,0.7443,0.0636
DenseNet121,Full,No,50176,PCC,0.7583,0.6793,0.7647,0.675,0.7353,0.8542,0.7647,0.7569,0.6705,0.9333,0.7592,0.0783
DenseNet121,Full,No,50176,J48,0.7583,0.788,0.7059,0.7679,0.7353,0.8229,0.8235,0.7639,0.697,0.7807,0.7643,0.0408
DenseNet121,Full,No,50176,RBF,0.85,0.9348,0.9118,0.7714,0.9118,0.9688,0.8824,0.941,0.9356,0.914,0.9021,0.0535
DenseNet121,Full,No,50176,LinearSVM,0.9167,0.8714,0.9706,0.8571,0.9118,0.9688,0.9706,0.8819,0.9773,0.9211,0.9247,0.0429
DenseNet121,Full,No,50176,MLP,0.825,0.8514,0.9706,0.7714,0.9706,0.9062,0.9412,0.9688,0.9545,0.9211,0.9081,0.0661
DenseNet121,Full,No,50176,Logistic,0.8917,0.8496,0.9412,0.8214,0.9118,0.9688,0.9706,0.8819,0.9773,0.9211,0.9135,0.0502
DenseNet121,Full,No,50176,RandomForest,0.7583,0.8514,0.9412,0.8071,0.9118,0.8542,0.9412,0.9688,0.9318,0.9474,0.8913,0.0663
DenseNet121,Full,No,50176,Adaboost,0.8583,0.7663,0.8529,0.8679,0.9118,0.8785,0.9118,0.9062,0.9773,0.914,0.8845,0.0523
DenseNet121,Full,No,50176,Gaussian,0.825,0.7464,0.9412,0.7464,0.7941,0.8542,0.8235,0.8854,0.8902,0.8737,0.838,0.0602
DenseNet169,Full,No,81536,PCC,0.775,0.7844,0.7059,0.8071,0.8235,0.8194,0.7941,0.8507,0.7424,0.7877,0.789,0.0395
DenseNet169,Full,No,81536,J48,0.7583,0.7844,0.7647,0.7786,0.6176,0.7604,0.7941,0.8229,0.7197,0.6877,0.7489,0.0565
DenseNet169,Full,No,81536,RBF,0.9417,0.9565,0.9118,0.8071,0.8824,0.8785,0.8235,0.9132,0.9773,0.914,0.9006,0.0516
DenseNet169,Full,No,81536,LinearSVM,0.9667,0.8496,0.9706,0.8214,0.8824,0.9097,0.8824,0.9132,0.9356,0.9474,0.9079,0.0468
DenseNet169,Full,No,81536,MLP,0.9083,0.9565,0.9412,0.8571,0.8824,0.9132,0.8824,0.8576,0.9545,0.914,0.9067,0.0348
DenseNet169,Full,No,81536,Logistic,0.9667,0.8496,0.9412,0.8214,0.8529,0.9097,0.8824,0.941,0.9773,0.9474,0.909,0.0515
DenseNet169,Full,No,81536,RandomForest,0.9167,0.9366,0.9118,0.8429,0.8529,0.9688,0.8529,0.8819,0.8674,0.9211,0.8953,0.0397
DenseNet169,Full,No,81536,Adaboost,0.9,0.8732,0.8529,0.8429,0.8824,0.8819,0.8824,0.9167,0.9773,0.914,0.8924,0.0361
